DateTime,Accelerometer,x,y,z,Temperature,Lux,Humidity,Proximity,Pressure,Altitude,Roll,Pitch 
2018-10-4 20:14:27.000,6.36,-0.14,-7.20,26.00,2.00,49.14,3.02,101367.19,-3.80,-178.87,-41.44
2018-10-4 20:14:28.500,4.24,-1.35,-8.44,26.01,2.00,49.17,3.02,101365.23,-3.62,-170.92,-26.41
2018-10-4 20:14:28.000,4.09,-1.54,-8.53,26.01,1.00,49.24,3.02,101362.45,-3.37,-169.76,-25.27
2018-10-4 20:14:29.500,4.56,-1.32,-8.87,25.99,1.00,49.29,3.02,101360.02,-3.15,-171.54,-26.95
2018-10-4 20:14:29.000,3.75,-1.26,-9.03,26.00,2.00,49.36,3.02,101361.64,-3.30,-172.04,-22.33
2018-10-4 20:14:30.500,3.59,-1.53,-8.33,26.00,2.00,49.42,3.04,101361.64,-3.30,-169.59,-22.97
2018-10-4 20:14:30.000,4.50,-1.71,-9.03,26.01,1.00,49.48,3.01,101365.23,-3.62,-169.26,-26.09
2018-10-4 20:14:31.500,3.37,-1.55,-8.65,26.02,1.00,49.51,3.01,101364.06,-3.52,-169.84,-20.99
2018-10-4 20:14:31.000,3.68,-2.13,-8.44,26.01,1.00,49.55,3.02,101356.91,-2.87,-165.87,-22.91
2018-10-4 20:14:32.500,3.50,-2.11,-8.77,26.01,3.00,49.58,3.03,101360.50,-3.20,-166.51,-21.18
2018-10-4 20:14:32.000,3.46,-2.18,-8.61,26.02,2.00,49.60,3.02,101358.52,-3.02,-165.78,-21.27
2018-10-4 20:14:33.500,3.54,-2.28,-8.95,26.02,2.00,49.63,3.03,101364.88,-3.59,-165.72,-21.00
2018-10-4 20:14:33.000,3.38,-1.99,-8.83,26.02,2.00,49.65,3.02,101364.06,-3.52,-167.30,-20.48
2018-10-4 20:14:34.500,3.34,-2.06,-8.87,26.02,2.00,49.67,3.01,101355.73,-2.77,-166.94,-20.16
2018-10-4 20:14:34.000,3.00,-2.27,-8.87,26.02,2.00,49.71,3.01,101359.33,-3.09,-165.66,-18.13
2018-10-4 20:14:35.500,2.85,-0.63,-8.14,26.02,1.00,49.73,3.00,101359.33,-3.09,-175.57,-19.21
2018-10-4 20:14:35.000,3.78,0.11,-8.00,26.03,1.00,49.76,3.02,101351.83,-2.41,179.26,-25.32
2018-10-4 20:14:36.500,4.98,2.34,-9.12,26.02,1.00,49.77,3.02,101362.11,-3.34,165.64,-27.89
2018-10-4 20:14:36.000,3.52,0.92,-7.92,26.03,1.00,49.80,3.02,101360.14,-3.16,173.39,-23.79
2018-10-4 20:14:37.500,5.80,-2.10,-7.88,26.02,1.00,49.82,3.03,101362.11,-3.34,-165.11,-35.44
2018-10-4 20:14:37.000,4.66,-2.81,-7.85,26.03,1.00,49.87,3.02,101363.70,-3.48,-160.33,-29.20
