t1= 12.9715, c1= 4.03411, s= 34.4315, t2= 12.9008, lat=50 12.9600 N, lon=032 46.9276 W, hms=000000, dmy=151018
t1= 12.9695, c1= 4.03404, s= 34.4327, t2= 12.8993, lat=50 12.9766 N, lon=032 46.8921 W, hms=000010, dmy=151018
t1= 12.9692, c1= 4.03406, s= 34.4332, t2= 12.9005, lat=50 12.9922 N, lon=032 46.8553 W, hms=000020, dmy=151018
t1= 12.9687, c1= 4.03431, s= 34.4360, t2= 12.9008, lat=50 13.0060 N, lon=032 46.8186 W, hms=000030, dmy=151018
t1= 12.9691, c1= 4.03448, s= 34.4372, t2= 12.9013, lat=50 13.0196 N, lon=032 46.7827 W, hms=000040, dmy=151018
t1= 12.9696, c1= 4.03491, s= 34.4408, t2= 12.9230, lat=50 13.0339 N, lon=032 46.7468 W, hms=000050, dmy=151018
t1= 12.9716, c1= 4.03536, s= 34.4433, t2= 12.9125, lat=50 13.0487 N, lon=032 46.7112 W, hms=000100, dmy=151018
t1= 12.9807, c1= 4.03635, s= 34.4445, t2= 12.9121, lat=50 13.0646 N, lon=032 46.6769 W, hms=000110, dmy=151018
t1= 12.9804, c1= 4.03674, s= 34.4485, t2= 12.9142, lat=50 13.0806 N, lon=032 46.6417 W, hms=000120, dmy=151018
t1= 12.9817, c1= 4.03719, s= 34.4516, t2= 12.9154, lat=50 13.0964 N, lon=032 46.6054 W, hms=000130, dmy=151018
t1= 12.9831, c1= 4.03758, s= 34.4540, t2= 12.9182, lat=50 13.1114 N, lon=032 46.5698 W, hms=000140, dmy=151018
t1= 12.9847, c1= 4.03792, s= 34.4558, t2= 12.9198, lat=50 13.1262 N, lon=032 46.5344 W, hms=000150, dmy=151018
t1= 12.9855, c1= 4.03833, s= 34.4590, t2= 12.9208, lat=50 13.1413 N, lon=032 46.4997 W, hms=000200, dmy=151018
t1= 12.9878, c1= 4.03909, s= 34.4642, t2= 12.9242, lat=50 13.1567 N, lon=032 46.4652 W, hms=000210, dmy=151018
t1= 12.9887, c1= 4.04002, s= 34.4722, t2= 12.9249, lat=50 13.1733 N, lon=032 46.4304 W, hms=000220, dmy=151018
t1= 12.9914, c1= 4.04114, s= 34.4804, t2= 12.9255, lat=50 13.1894 N, lon=032 46.3951 W, hms=000230, dmy=151018
t1= 12.9931, c1= 4.04177, s= 34.4849, t2= 12.9281, lat=50 13.2047 N, lon=032 46.3585 W, hms=000240, dmy=151018
t1= 12.9941, c1= 4.04237, s= 34.4897, t2= 12.9292, lat=50 13.2195 N, lon=032 46.3224 W, hms=000250, dmy=151018
t1= 12.9954, c1= 4.04301, s= 34.4946, t2= 12.9337, lat=50 13.2342 N, lon=032 46.2871 W, hms=000300, dmy=151018
t1= 12.9999, c1= 4.04354, s= 34.4955, t2= 12.9335, lat=50 13.2496 N, lon=032 46.2524 W, hms=000310, dmy=151018
t1= 13.0024, c1= 4.04384, s= 34.4961, t2= 12.9344, lat=50 13.3116 N, lon=032 46.1158 W, hms=000349, dmy=151018
t1= 13.0020, c1= 4.04392, s= 34.4972, t2= 12.9329, lat=50 13.3179 N, lon=032 46.1014 W, hms=000353, dmy=151018
t1= 13.0014, c1= 4.04401, s= 34.4986, t2= 12.9306, lat=50 13.3242 N, lon=032 46.0865 W, hms=000357, dmy=151018
t1= 13.0015, c1= 4.04411, s= 34.4995, t2= 12.9315, lat=50 13.3303 N, lon=032 46.0714 W, hms=000401, dmy=151018
t1= 13.0008, c1= 4.04423, s= 34.5013, t2= 12.9256, lat=50 13.3360 N, lon=032 46.0564 W, hms=000405, dmy=151018
t1= 13.0011, c1= 4.04436, s= 34.5022, t2= 12.9196, lat=50 13.3432 N, lon=032 46.0377 W, hms=000410, dmy=151018
t1= 12.9960, c1= 4.04421, s= 34.5055, t2= 12.9187, lat=50 13.3580 N, lon=032 45.9995 W, hms=000420, dmy=151018
t1= 12.9908, c1= 4.04409, s= 34.5090, t2= 12.9165, lat=50 13.3725 N, lon=032 45.9617 W, hms=000430, dmy=151018
t1= 12.9883, c1= 4.04409, s= 34.5113, t2= 12.9128, lat=50 13.3867 N, lon=032 45.9254 W, hms=000440, dmy=151018
t1= 12.9866, c1= 4.04419, s= 34.5138, t2= 12.9099, lat=50 13.4021 N, lon=032 45.8898 W, hms=000450, dmy=151018
t1= 12.9834, c1= 4.04380, s= 34.5130, t2= 12.9196, lat=50 13.4175 N, lon=032 45.8555 W, hms=000500, dmy=151018
t1= 12.9808, c1= 4.04361, s= 34.5136, t2= 12.9176, lat=50 13.4339 N, lon=032 45.8220 W, hms=000510, dmy=151018
t1= 12.9878, c1= 4.04427, s= 34.5135, t2= 12.9131, lat=50 13.4511 N, lon=032 45.7894 W, hms=000520, dmy=151018
t1= 12.9881, c1= 4.04427, s= 34.5133, t2= 12.9125, lat=50 13.4691 N, lon=032 45.7568 W, hms=000530, dmy=151018
t1= 12.9849, c1= 4.04398, s= 34.5134, t2= 12.9096, lat=50 13.4868 N, lon=032 45.7236 W, hms=000540, dmy=151018
t1= 12.9825, c1= 4.04374, s= 34.5132, t2= 12.9110, lat=50 13.5042 N, lon=032 45.6897 W, hms=000550, dmy=151018
t1= 12.9807, c1= 4.04352, s= 34.5128, t2= 12.9103, lat=50 13.5211 N, lon=032 45.6545 W, hms=000600, dmy=151018
t1= 12.9787, c1= 4.04339, s= 34.5134, t2= 12.8998, lat=50 13.5378 N, lon=032 45.6191 W, hms=000610, dmy=151018
t1= 12.9772, c1= 4.04357, s= 34.5165, t2= 12.8976, lat=50 13.5537 N, lon=032 45.5827 W, hms=000620, dmy=151018
t1= 12.9724, c1= 4.04378, s= 34.5229, t2= 12.8976, lat=50 13.5697 N, lon=032 45.5468 W, hms=000630, dmy=151018
t1= 12.9684, c1= 4.04427, s= 34.5312, t2= 12.8953, lat=50 13.5857 N, lon=032 45.5108 W, hms=000640, dmy=151018
t1= 12.9671, c1= 4.04465, s= 34.5359, t2= 12.8969, lat=50 13.6013 N, lon=032 45.4748 W, hms=000650, dmy=151018
t1= 12.9665, c1= 4.04502, s= 34.5401, t2= 12.8966, lat=50 13.6167 N, lon=032 45.4397 W, hms=000700, dmy=151018
t1= 12.9657, c1= 4.04547, s= 34.5451, t2= 12.9020, lat=50 13.6323 N, lon=032 45.4050 W, hms=000710, dmy=151018
t1= 12.9676, c1= 4.04572, s= 34.5457, t2= 12.9034, lat=50 13.6488 N, lon=032 45.3720 W, hms=000720, dmy=151018
t1= 12.9722, c1= 4.04607, s= 34.5449, t2= 12.9043, lat=50 13.6664 N, lon=032 45.3404 W, hms=000730, dmy=151018
t1= 12.9707, c1= 4.04611, s= 34.5466, t2= 12.9005, lat=50 13.6845 N, lon=032 45.3081 W, hms=000740, dmy=151018
t1= 12.9713, c1= 4.04618, s= 34.5468, t2= 12.8980, lat=50 13.7019 N, lon=032 45.2769 W, hms=000750, dmy=151018
t1= 12.9707, c1= 4.04618, s= 34.5473, t2= 12.8961, lat=50 13.7200 N, lon=032 45.2453 W, hms=000800, dmy=151018
t1= 12.9684, c1= 4.04604, s= 34.5482, t2= 12.8947, lat=50 13.7387 N, lon=032 45.2127 W, hms=000810, dmy=151018
t1= 12.9669, c1= 4.04606, s= 34.5497, t2= 12.8879, lat=50 13.7565 N, lon=032 45.1800 W, hms=000820, dmy=151018
t1= 12.9645, c1= 4.04617, s= 34.5528, t2= 12.8833, lat=50 13.7737 N, lon=032 45.1467 W, hms=000830, dmy=151018
t1= 12.9600, c1= 4.04613, s= 34.5566, t2= 12.8796, lat=50 13.7901 N, lon=032 45.1136 W, hms=000840, dmy=151018
t1= 12.9557, c1= 4.04596, s= 34.5589, t2= 12.8717, lat=50 13.8064 N, lon=032 45.0804 W, hms=000850, dmy=151018
t1= 12.9503, c1= 4.04551, s= 34.5596, t2= 12.8692, lat=50 13.8224 N, lon=032 45.0466 W, hms=000900, dmy=151018
t1= 12.9449, c1= 4.04516, s= 34.5612, t2= 12.8827, lat=50 13.8379 N, lon=032 45.0121 W, hms=000910, dmy=151018
t1= 12.9408, c1= 4.04485, s= 34.5620, t2= 12.8750, lat=50 13.8533 N, lon=032 44.9776 W, hms=000920, dmy=151018
t1= 12.9455, c1= 4.04531, s= 34.5621, t2= 12.8726, lat=50 13.8685 N, lon=032 44.9432 W, hms=000930, dmy=151018
t1= 12.9449, c1= 4.04537, s= 34.5631, t2= 12.8708, lat=50 13.8840 N, lon=032 44.9096 W, hms=000940, dmy=151018
t1= 12.9435, c1= 4.04533, s= 34.5640, t2= 12.8713, lat=50 13.9002 N, lon=032 44.8763 W, hms=000950, dmy=151018
