t1= 14.9300, c1= 3.99262, s= 32.3448, t2= 14.8614, lat=44 16.4639 N, lon=054 25.2539 W, hms=000005, dmy=101018
t1= 14.9312, c1= 3.99278, s= 32.3453, t2= 14.8738, lat=44 16.4593 N, lon=054 25.2258 W, hms=000016, dmy=101018
t1= 14.9343, c1= 3.99311, s= 32.3457, t2= 14.8701, lat=44 16.4551 N, lon=054 25.1970 W, hms=000027, dmy=101018
t1= 14.9434, c1= 3.99396, s= 32.3458, t2= 14.8721, lat=44 16.4510 N, lon=054 25.1676 W, hms=000038, dmy=101018
t1= 14.9439, c1= 3.99402, s= 32.3460, t2= 14.8739, lat=44 16.4469 N, lon=054 25.1384 W, hms=000049, dmy=101018
t1= 14.9446, c1= 3.99412, s= 32.3463, t2= 14.8751, lat=44 16.4428 N, lon=054 25.1089 W, hms=000100, dmy=101018
t1= 14.9468, c1= 3.99435, s= 32.3465, t2= 14.8814, lat=44 16.4388 N, lon=054 25.0792 W, hms=000111, dmy=101018
t1= 14.9486, c1= 3.99459, s= 32.3472, t2= 14.8792, lat=44 16.4350 N, lon=054 25.0490 W, hms=000122, dmy=101018
t1= 14.9512, c1= 3.99494, s= 32.3482, t2= 14.8766, lat=44 16.4315 N, lon=054 25.0187 W, hms=000133, dmy=101018
t1= 14.9521, c1= 3.99508, s= 32.3488, t2= 14.8784, lat=44 16.4280 N, lon=054 24.9855 W, hms=000145, dmy=101018
t1= 14.9510, c1= 3.99504, s= 32.3493, t2= 14.8784, lat=44 16.4249 N, lon=054 24.9523 W, hms=000157, dmy=101018
t1= 14.9513, c1= 3.99524, s= 32.3508, t2= 14.8786, lat=44 16.4223 N, lon=054 24.9221 W, hms=000208, dmy=101018
t1= 14.9520, c1= 3.99536, s= 32.3514, t2= 14.8790, lat=44 16.4199 N, lon=054 24.8921 W, hms=000219, dmy=101018
t1= 14.9525, c1= 3.99547, s= 32.3519, t2= 14.8787, lat=44 16.4175 N, lon=054 24.8614 W, hms=000230, dmy=101018
t1= 14.9525, c1= 3.99555, s= 32.3526, t2= 14.8839, lat=44 16.4149 N, lon=054 24.8304 W, hms=000241, dmy=101018
t1= 14.9532, c1= 3.99571, s= 32.3535, t2= 14.8850, lat=44 16.4124 N, lon=054 24.7993 W, hms=000252, dmy=101018
t1= 14.9600, c1= 3.99632, s= 32.3534, t2= 14.8861, lat=44 16.4099 N, lon=054 24.7687 W, hms=000303, dmy=101018
t1= 14.9597, c1= 3.99628, s= 32.3533, t2= 14.8868, lat=44 16.4075 N, lon=054 24.7377 W, hms=000314, dmy=101018
t1= 14.9604, c1= 3.99636, s= 32.3535, t2= 14.8872, lat=44 16.4050 N, lon=054 24.7061 W, hms=000325, dmy=101018
t1= 14.9602, c1= 3.99640, s= 32.3540, t2= 14.8847, lat=44 16.4019 N, lon=054 24.6745 W, hms=000336, dmy=101018
t1= 14.9504, c1= 3.99559, s= 32.3547, t2= 14.8701, lat=44 16.3772 N, lon=054 24.4245 W, hms=000502, dmy=101018
t1= 14.9484, c1= 3.99538, s= 32.3546, t2= 14.8694, lat=44 16.3740 N, lon=054 24.3911 W, hms=000513, dmy=101018
