t1= 15.8306, c1= 4.04571, s= 32.0809, t2= 15.7573, lat=43 02.6688 N, lon=066 40.3908 W, hms=000005, dmy=071018
t1= 15.8261, c1= 4.04521, s= 32.0802, t2= 15.7456, lat=43 02.6716 N, lon=066 40.3658 W, hms=000015, dmy=071018
t1= 15.8265, c1= 4.04524, s= 32.0801, t2= 15.7184, lat=43 02.6738 N, lon=066 40.3408 W, hms=000025, dmy=071018
t1= 15.8241, c1= 4.04498, s= 32.0798, t2= 15.6957, lat=43 02.6758 N, lon=066 40.3156 W, hms=000035, dmy=071018
t1= 15.8109, c1= 4.04374, s= 32.0795, t2= 15.6876, lat=43 02.6781 N, lon=066 40.2901 W, hms=000045, dmy=071018
t1= 15.7946, c1= 4.04265, s= 32.0831, t2= 15.6828, lat=43 02.6809 N, lon=066 40.2643 W, hms=000055, dmy=071018
t1= 15.7728, c1= 4.04007, s= 32.0779, t2= 15.6899, lat=43 02.6838 N, lon=066 40.2384 W, hms=000105, dmy=071018
t1= 15.7661, c1= 4.03916, s= 32.0754, t2= 15.6706, lat=43 02.6867 N, lon=066 40.2127 W, hms=000115, dmy=071018
t1= 15.7590, c1= 4.03795, s= 32.0703, t2= 15.6797, lat=43 02.6896 N, lon=066 40.1869 W, hms=000125, dmy=071018
t1= 15.7586, c1= 4.03747, s= 32.0664, t2= 15.6888, lat=43 02.6925 N, lon=066 40.1610 W, hms=000135, dmy=071018
t1= 15.7525, c1= 4.03659, s= 32.0636, t2= 15.6735, lat=43 02.6954 N, lon=066 40.1349 W, hms=000145, dmy=071018
t1= 15.7560, c1= 4.03712, s= 32.0654, t2= 15.6763, lat=43 02.6982 N, lon=066 40.1084 W, hms=000155, dmy=071018
t1= 15.7569, c1= 4.03723, s= 32.0657, t2= 15.6779, lat=43 02.7011 N, lon=066 40.0815 W, hms=000205, dmy=071018
t1= 15.7505, c1= 4.03648, s= 32.0643, t2= 15.6546, lat=43 02.7038 N, lon=066 40.0546 W, hms=000215, dmy=071018
t1= 15.7502, c1= 4.03640, s= 32.0638, t2= 15.6661, lat=43 02.7067 N, lon=066 40.0277 W, hms=000225, dmy=071018
t1= 15.7437, c1= 4.03582, s= 32.0639, t2= 15.6685, lat=43 02.7095 N, lon=066 40.0009 W, hms=000235, dmy=071018
t1= 15.7351, c1= 4.03508, s= 32.0643, t2= 15.6709, lat=43 02.7123 N, lon=066 39.9743 W, hms=000245, dmy=071018
t1= 15.7389, c1= 4.03521, s= 32.0624, t2= 15.6694, lat=43 02.7152 N, lon=066 39.9479 W, hms=000255, dmy=071018
t1= 15.7415, c1= 4.03525, s= 32.0606, t2= 15.6684, lat=43 02.7185 N, lon=066 39.9221 W, hms=000305, dmy=071018
t1= 15.7420, c1= 4.03500, s= 32.0580, t2= 15.6816, lat=43 02.7216 N, lon=066 39.8964 W, hms=000315, dmy=071018
t1= 15.7415, c1= 4.03463, s= 32.0552, t2= 15.6767, lat=43 02.7327 N, lon=066 39.7941 W, hms=000354, dmy=071018
t1= 15.7455, c1= 4.03504, s= 32.0556, t2= 15.6693, lat=43 02.7338 N, lon=066 39.7835 W, hms=000358, dmy=071018
t1= 15.7503, c1= 4.03535, s= 32.0544, t2= 15.6695, lat=43 02.7349 N, lon=066 39.7730 W, hms=000402, dmy=071018
t1= 15.7465, c1= 4.03494, s= 32.0539, t2= 15.6614, lat=43 02.7359 N, lon=066 39.7624 W, hms=000406, dmy=071018
t1= 15.7429, c1= 4.03459, s= 32.0537, t2= 15.6539, lat=43 02.7368 N, lon=066 39.7518 W, hms=000410, dmy=071018
t1= 15.7385, c1= 4.03407, s= 32.0526, t2= 15.6497, lat=43 02.7380 N, lon=066 39.7387 W, hms=000415, dmy=071018
t1= 15.7331, c1= 4.03344, s= 32.0514, t2= 15.6507, lat=43 02.7404 N, lon=066 39.7130 W, hms=000425, dmy=071018
t1= 15.7294, c1= 4.03302, s= 32.0507, t2= 15.6488, lat=43 02.7425 N, lon=066 39.6875 W, hms=000435, dmy=071018
t1= 15.7241, c1= 4.03282, s= 32.0532, t2= 15.6386, lat=43 02.7446 N, lon=066 39.6615 W, hms=000445, dmy=071018
t1= 15.7240, c1= 4.03319, s= 32.0565, t2= 15.6270, lat=43 02.7470 N, lon=066 39.6351 W, hms=000455, dmy=071018
t1= 15.7201, c1= 4.03300, s= 32.0581, t2= 15.6166, lat=43 02.7498 N, lon=066 39.6086 W, hms=000505, dmy=071018
t1= 15.7119, c1= 4.03201, s= 32.0560, t2= 15.6158, lat=43 02.7529 N, lon=066 39.5819 W, hms=000515, dmy=071018
t1= 15.7028, c1= 4.03105, s= 32.0548, t2= 15.6177, lat=43 02.7560 N, lon=066 39.5552 W, hms=000525, dmy=071018
t1= 15.6931, c1= 4.02979, s= 32.0516, t2= 15.5952, lat=43 02.7589 N, lon=066 39.5288 W, hms=000535, dmy=071018
t1= 15.6929, c1= 4.02957, s= 32.0497, t2= 15.5875, lat=43 02.7616 N, lon=066 39.5026 W, hms=000545, dmy=071018
t1= 15.6848, c1= 4.02804, s= 32.0428, t2= 15.5726, lat=43 02.7639 N, lon=066 39.4766 W, hms=000555, dmy=071018
t1= 15.6749, c1= 4.02638, s= 32.0361, t2= 15.5695, lat=43 02.7660 N, lon=066 39.4508 W, hms=000605, dmy=071018
t1= 15.6620, c1= 4.02451, s= 32.0299, t2= 15.5533, lat=43 02.7677 N, lon=066 39.4256 W, hms=000615, dmy=071018
t1= 15.6502, c1= 4.02307, s= 32.0268, t2= 15.5298, lat=43 02.7695 N, lon=066 39.4004 W, hms=000625, dmy=071018
t1= 15.6431, c1= 4.02221, s= 32.0249, t2= 15.4966, lat=43 02.7715 N, lon=066 39.3751 W, hms=000635, dmy=071018
t1= 15.6320, c1= 4.02094, s= 32.0225, t2= 15.4891, lat=43 02.7740 N, lon=066 39.3497 W, hms=000645, dmy=071018
t1= 15.6092, c1= 4.01813, s= 32.0161, t2= 15.4774, lat=43 02.7766 N, lon=066 39.3242 W, hms=000655, dmy=071018
t1= 15.5863, c1= 4.01540, s= 32.0105, t2= 15.4732, lat=43 02.7795 N, lon=066 39.2986 W, hms=000705, dmy=071018
t1= 15.5710, c1= 4.01381, s= 32.0088, t2= 15.4628, lat=43 02.7823 N, lon=066 39.2730 W, hms=000715, dmy=071018
t1= 15.5605, c1= 4.01275, s= 32.0079, t2= 15.4861, lat=43 02.7853 N, lon=066 39.2471 W, hms=000725, dmy=071018
t1= 15.5522, c1= 4.01193, s= 32.0073, t2= 15.4788, lat=43 02.7881 N, lon=066 39.2209 W, hms=000735, dmy=071018
t1= 15.5520, c1= 4.01209, s= 32.0089, t2= 15.4741, lat=43 02.7910 N, lon=066 39.1950 W, hms=000745, dmy=071018
t1= 15.5582, c1= 4.01273, s= 32.0096, t2= 15.4744, lat=43 02.7941 N, lon=066 39.1698 W, hms=000755, dmy=071018
t1= 15.5570, c1= 4.01281, s= 32.0113, t2= 15.4758, lat=43 02.7969 N, lon=066 39.1449 W, hms=000805, dmy=071018
t1= 15.5550, c1= 4.01296, s= 32.0142, t2= 15.4820, lat=43 02.7994 N, lon=066 39.1202 W, hms=000815, dmy=071018
t1= 15.5532, c1= 4.01324, s= 32.0182, t2= 15.4885, lat=43 02.8017 N, lon=066 39.0955 W, hms=000825, dmy=071018
t1= 15.5565, c1= 4.01391, s= 32.0215, t2= 15.4893, lat=43 02.8039 N, lon=066 39.0707 W, hms=000835, dmy=071018
t1= 15.5589, c1= 4.01475, s= 32.0270, t2= 15.4915, lat=43 02.8058 N, lon=066 39.0456 W, hms=000845, dmy=071018
t1= 15.5609, c1= 4.01604, s= 32.0368, t2= 15.4924, lat=43 02.8079 N, lon=066 39.0203 W, hms=000855, dmy=071018
t1= 15.5635, c1= 4.01727, s= 32.0456, t2= 15.4749, lat=43 02.8100 N, lon=066 38.9948 W, hms=000905, dmy=071018
t1= 15.5651, c1= 4.01778, s= 32.0489, t2= 15.4604, lat=43 02.8125 N, lon=066 38.9692 W, hms=000915, dmy=071018
t1= 15.5631, c1= 4.01727, s= 32.0459, t2= 15.4707, lat=43 02.8153 N, lon=066 38.9438 W, hms=000925, dmy=071018
t1= 15.5504, c1= 4.01538, s= 32.0395, t2= 15.4698, lat=43 02.8183 N, lon=066 38.9185 W, hms=000935, dmy=071018
t1= 15.5420, c1= 4.01416, s= 32.0355, t2= 15.4645, lat=43 02.8215 N, lon=066 38.8932 W, hms=000945, dmy=071018
t1= 15.5463, c1= 4.01448, s= 32.0349, t2= 15.4590, lat=43 02.8248 N, lon=066 38.8679 W, hms=000955, dmy=071018
t1= 15.5445, c1= 4.01408, s= 32.0327, t2= 15.4574, lat=43 02.8283 N, lon=066 38.8425 W, hms=001005, dmy=071018
t1= 15.5392, c1= 4.01324, s= 32.0296, t2= 15.4563, lat=43 02.8318 N, lon=066 38.8168 W, hms=001015, dmy=071018
t1= 15.5371, c1= 4.01270, s= 32.0265, t2= 15.4563, lat=43 02.8350 N, lon=066 38.7912 W, hms=001025, dmy=071018
t1= 15.5344, c1= 4.01197, s= 32.0221, t2= 15.4490, lat=43 02.8379 N, lon=066 38.7658 W, hms=001035, dmy=071018
t1= 15.5324, c1= 4.01144, s= 32.0191, t2= 15.4434, lat=43 02.8405 N, lon=066 38.7406 W, hms=001045, dmy=071018
t1= 15.5307, c1= 4.01109, s= 32.0173, t2= 15.4408, lat=43 02.8430 N, lon=066 38.7156 W, hms=001055, dmy=071018
t1= 15.5264, c1= 4.01082, s= 32.0185, t2= 15.4379, lat=43 02.8455 N, lon=066 38.6905 W, hms=001105, dmy=071018
t1= 15.5222, c1= 4.01074, s= 32.0212, t2= 15.4334, lat=43 02.8481 N, lon=066 38.6654 W, hms=001115, dmy=071018
t1= 15.5182, c1= 4.01117, s= 32.0282, t2= 15.4379, lat=43 02.8510 N, lon=066 38.6402 W, hms=001125, dmy=071018
t1= 15.5137, c1= 4.01201, s= 32.0394, t2= 15.4539, lat=43 02.8541 N, lon=066 38.6147 W, hms=001135, dmy=071018
t1= 15.5134, c1= 4.01322, s= 32.0503, t2= 15.4425, lat=43 02.8575 N, lon=066 38.5889 W, hms=001145, dmy=071018
t1= 15.5195, c1= 4.01424, s= 32.0545, t2= 15.4368, lat=43 02.8611 N, lon=066 38.5629 W, hms=001155, dmy=071018
t1= 15.5213, c1= 4.01475, s= 32.0576, t2= 15.4403, lat=43 02.8647 N, lon=066 38.5369 W, hms=001205, dmy=071018
t1= 15.5175, c1= 4.01477, s= 32.0609, t2= 15.4393, lat=43 02.8684 N, lon=066 38.5110 W, hms=001215, dmy=071018
t1= 15.5147, c1= 4.01494, s= 32.0646, t2= 15.4491, lat=43 02.8722 N, lon=066 38.4853 W, hms=001225, dmy=071018
t1= 15.5142, c1= 4.01588, s= 32.0734, t2= 15.4414, lat=43 02.8761 N, lon=066 38.4596 W, hms=001235, dmy=071018
t1= 15.5176, c1= 4.01778, s= 32.0876, t2= 15.4423, lat=43 02.8800 N, lon=066 38.4338 W, hms=001245, dmy=071018
t1= 15.5211, c1= 4.01987, s= 32.1033, t2= 15.4424, lat=43 02.8836 N, lon=066 38.4080 W, hms=001255, dmy=071018
t1= 15.5177, c1= 4.02211, s= 32.1260, t2= 15.4447, lat=43 02.8868 N, lon=066 38.3823 W, hms=001305, dmy=071018
t1= 15.5166, c1= 4.02379, s= 32.1419, t2= 15.4345, lat=43 02.8896 N, lon=066 38.3566 W, hms=001315, dmy=071018
t1= 15.5176, c1= 4.02608, s= 32.1614, t2= 15.4260, lat=43 02.8924 N, lon=066 38.3307 W, hms=001325, dmy=071018
