t1= 15.2547, c1= 4.34182, s= 35.2268, t2= 15.1858, lat=49 04.5594 N, lon=027 06.8906 W, hms=235959, dmy=161018
t1= 15.2530, c1= 4.34157, s= 35.2261, t2= 15.1816, lat=49 04.5458 N, lon=027 06.8552 W, hms=000009, dmy=161018
t1= 15.2510, c1= 4.34116, s= 35.2242, t2= 15.1769, lat=49 04.5327 N, lon=027 06.8198 W, hms=000019, dmy=161018
t1= 15.2458, c1= 4.34044, s= 35.2223, t2= 15.1691, lat=49 04.5200 N, lon=027 06.7835 W, hms=000029, dmy=161018
t1= 15.2401, c1= 4.33956, s= 35.2195, t2= 15.1685, lat=49 04.5071 N, lon=027 06.7461 W, hms=000039, dmy=161018
t1= 15.2358, c1= 4.33899, s= 35.2182, t2= 15.1474, lat=49 04.4947 N, lon=027 06.7091 W, hms=000049, dmy=161018
t1= 15.2293, c1= 4.33805, s= 35.2155, t2= 15.1385, lat=49 04.4827 N, lon=027 06.6730 W, hms=000059, dmy=161018
t1= 15.2160, c1= 4.33619, s= 35.2105, t2= 15.1307, lat=49 04.4715 N, lon=027 06.6378 W, hms=000109, dmy=161018
t1= 15.2061, c1= 4.33490, s= 35.2078, t2= 15.1239, lat=49 04.4616 N, lon=027 06.5996 W, hms=000119, dmy=161018
t1= 15.1991, c1= 4.33403, s= 35.2061, t2= 15.1186, lat=49 04.4531 N, lon=027 06.5623 W, hms=000129, dmy=161018
t1= 15.1937, c1= 4.33328, s= 35.2042, t2= 15.1077, lat=49 04.4444 N, lon=027 06.5239 W, hms=000139, dmy=161018
t1= 15.1853, c1= 4.33210, s= 35.2010, t2= 15.1127, lat=49 04.4350 N, lon=027 06.4845 W, hms=000149, dmy=161018
t1= 15.1774, c1= 4.33104, s= 35.1985, t2= 15.1150, lat=49 04.4241 N, lon=027 06.4458 W, hms=000159, dmy=161018
t1= 15.1801, c1= 4.33132, s= 35.1986, t2= 15.1086, lat=49 04.4125 N, lon=027 06.4059 W, hms=000209, dmy=161018
t1= 15.1794, c1= 4.33110, s= 35.1972, t2= 15.1021, lat=49 04.4014 N, lon=027 06.3674 W, hms=000219, dmy=161018
t1= 15.1746, c1= 4.33044, s= 35.1955, t2= 15.1013, lat=49 04.3908 N, lon=027 06.3284 W, hms=000229, dmy=161018
t1= 15.1704, c1= 4.32981, s= 35.1935, t2= 15.0970, lat=49 04.3807 N, lon=027 06.2896 W, hms=000239, dmy=161018
t1= 15.1668, c1= 4.32934, s= 35.1925, t2= 15.0897, lat=49 04.3699 N, lon=027 06.2521 W, hms=000249, dmy=161018
t1= 15.1636, c1= 4.32885, s= 35.1909, t2= 15.0762, lat=49 04.3581 N, lon=027 06.2154 W, hms=000259, dmy=161018
t1= 15.1572, c1= 4.32790, s= 35.1880, t2= 15.0648, lat=49 04.3461 N, lon=027 06.1796 W, hms=000309, dmy=161018
t1= 15.1450, c1= 4.32612, s= 35.1829, t2= 15.0590, lat=49 04.3045 N, lon=027 06.0020 W, hms=000356, dmy=161018
t1= 15.1352, c1= 4.32486, s= 35.1802, t2= 15.0530, lat=49 04.3015 N, lon=027 05.9861 W, hms=000400, dmy=161018
t1= 15.1281, c1= 4.32394, s= 35.1782, t2= 15.0508, lat=49 04.2984 N, lon=027 05.9696 W, hms=000404, dmy=161018
t1= 15.1226, c1= 4.32318, s= 35.1763, t2= 15.0458, lat=49 04.2950 N, lon=027 05.9534 W, hms=000408, dmy=161018
t1= 15.1178, c1= 4.32259, s= 35.1752, t2= 15.0573, lat=49 04.2912 N, lon=027 05.9377 W, hms=000412, dmy=161018
t1= 15.1139, c1= 4.32213, s= 35.1745, t2= 15.0492, lat=49 04.2869 N, lon=027 05.9217 W, hms=000416, dmy=161018
t1= 15.1205, c1= 4.32277, s= 35.1744, t2= 15.0446, lat=49 04.2822 N, lon=027 05.9063 W, hms=000420, dmy=161018
t1= 15.1181, c1= 4.32237, s= 35.1729, t2= 15.0443, lat=49 04.2713 N, lon=027 05.8711 W, hms=000429, dmy=161018
t1= 15.1123, c1= 4.32159, s= 35.1711, t2= 15.0391, lat=49 04.2574 N, lon=027 05.8331 W, hms=000439, dmy=161018
t1= 15.1097, c1= 4.32126, s= 35.1704, t2= 15.0375, lat=49 04.2429 N, lon=027 05.7947 W, hms=000449, dmy=161018
t1= 15.1068, c1= 4.32080, s= 35.1688, t2= 15.0336, lat=49 04.2285 N, lon=027 05.7560 W, hms=000459, dmy=161018
t1= 15.1024, c1= 4.32028, s= 35.1680, t2= 15.0244, lat=49 04.2141 N, lon=027 05.7180 W, hms=000509, dmy=161018
t1= 15.0990, c1= 4.31988, s= 35.1674, t2= 15.0192, lat=49 04.2003 N, lon=027 05.6802 W, hms=000519, dmy=161018
t1= 15.0934, c1= 4.31912, s= 35.1657, t2= 15.0168, lat=49 04.1876 N, lon=027 05.6429 W, hms=000529, dmy=161018
t1= 15.0870, c1= 4.31841, s= 35.1649, t2= 15.0099, lat=49 04.1765 N, lon=027 05.6070 W, hms=000539, dmy=161018
t1= 15.0825, c1= 4.31769, s= 35.1623, t2= 15.0085, lat=49 04.1663 N, lon=027 05.5696 W, hms=000549, dmy=161018
t1= 15.0783, c1= 4.31724, s= 35.1620, t2= 15.0015, lat=49 04.1566 N, lon=027 05.5329 W, hms=000559, dmy=161018
t1= 15.0747, c1= 4.31678, s= 35.1610, t2= 15.0097, lat=49 04.1465 N, lon=027 05.4956 W, hms=000609, dmy=161018
t1= 15.0704, c1= 4.31627, s= 35.1603, t2= 15.0022, lat=49 04.1359 N, lon=027 05.4575 W, hms=000619, dmy=161018
t1= 15.0746, c1= 4.31660, s= 35.1596, t2= 15.0071, lat=49 04.1253 N, lon=027 05.4200 W, hms=000629, dmy=161018
t1= 15.0718, c1= 4.31613, s= 35.1577, t2= 15.0010, lat=49 04.1152 N, lon=027 05.3805 W, hms=000639, dmy=161018
t1= 15.0707, c1= 4.31595, s= 35.1571, t2= 15.0024, lat=49 04.1045 N, lon=027 05.3414 W, hms=000649, dmy=161018
t1= 15.0687, c1= 4.31567, s= 35.1564, t2= 14.9975, lat=49 04.0940 N, lon=027 05.3036 W, hms=000659, dmy=161018
t1= 15.0673, c1= 4.31552, s= 35.1563, t2= 14.9948, lat=49 04.0846 N, lon=027 05.2671 W, hms=000709, dmy=161018
t1= 15.0644, c1= 4.31507, s= 35.1548, t2= 14.9836, lat=49 04.0752 N, lon=027 05.2324 W, hms=000719, dmy=161018
t1= 15.0617, c1= 4.31467, s= 35.1535, t2= 14.9786, lat=49 04.0661 N, lon=027 05.1984 W, hms=000729, dmy=161018
t1= 15.0532, c1= 4.31354, s= 35.1509, t2= 14.9718, lat=49 04.0566 N, lon=027 05.1637 W, hms=000739, dmy=161018
t1= 15.0456, c1= 4.31262, s= 35.1494, t2= 14.9643, lat=49 04.0464 N, lon=027 05.1283 W, hms=000749, dmy=161018
