t1= 15.1342, c1= 4.29503, s= 34.9097, t2= 17.1854, lat=51 25.8379 N, lon=008 47.0174 W, hms=000006, dmy=201018
t1= 15.1346, c1= 4.29487, s= 34.9079, t2= 17.1853, lat=51 25.8383 N, lon=008 46.9957 W, hms=000016, dmy=201018
t1= 15.1353, c1= 4.29513, s= 34.9096, t2= 17.1852, lat=51 25.8388 N, lon=008 46.9739 W, hms=000026, dmy=201018
t1= 15.1351, c1= 4.29501, s= 34.9087, t2= 17.1856, lat=51 25.8393 N, lon=008 46.9526 W, hms=000036, dmy=201018
t1= 15.1352, c1= 4.29492, s= 34.9078, t2= 17.1851, lat=51 25.8398 N, lon=008 46.9314 W, hms=000046, dmy=201018
t1= 15.1359, c1= 4.29505, s= 34.9084, t2= 17.1851, lat=51 25.8404 N, lon=008 46.9059 W, hms=000058, dmy=201018
t1= 15.1362, c1= 4.29507, s= 34.9083, t2= 17.1850, lat=51 25.8409 N, lon=008 46.8867 W, hms=000107, dmy=201018
t1= 15.1361, c1= 4.29494, s= 34.9072, t2= 17.1851, lat=51 25.8413 N, lon=008 46.8676 W, hms=000116, dmy=201018
t1= 15.1366, c1= 4.29505, s= 34.9077, t2= 17.1853, lat=51 25.8417 N, lon=008 46.8463 W, hms=000126, dmy=201018
t1= 15.1367, c1= 4.29522, s= 34.9092, t2= 17.1852, lat=51 25.8422 N, lon=008 46.8249 W, hms=000136, dmy=201018
t1= 15.1367, c1= 4.29505, s= 34.9076, t2= 17.1849, lat=51 25.8427 N, lon=008 46.8037 W, hms=000146, dmy=201018
t1= 15.1370, c1= 4.29496, s= 34.9066, t2= 17.1851, lat=51 25.8432 N, lon=008 46.7828 W, hms=000156, dmy=201018
t1= 15.1372, c1= 4.29522, s= 34.9088, t2= 17.1850, lat=51 25.8438 N, lon=008 46.7618 W, hms=000206, dmy=201018
t1= 15.1375, c1= 4.29516, s= 34.9079, t2= 17.1844, lat=51 25.8446 N, lon=008 46.7409 W, hms=000216, dmy=201018
t1= 15.1379, c1= 4.29524, s= 34.9083, t2= 17.1845, lat=51 25.8454 N, lon=008 46.7198 W, hms=000226, dmy=201018
t1= 15.1377, c1= 4.29533, s= 34.9093, t2= 17.1849, lat=51 25.8462 N, lon=008 46.6986 W, hms=000236, dmy=201018
t1= 15.1383, c1= 4.29528, s= 34.9084, t2= 17.1846, lat=51 25.8468 N, lon=008 46.6773 W, hms=000246, dmy=201018
t1= 15.1389, c1= 4.29546, s= 34.9094, t2= 17.1842, lat=51 25.8474 N, lon=008 46.6557 W, hms=000256, dmy=201018
t1= 15.1389, c1= 4.29533, s= 34.9082, t2= 17.1847, lat=51 25.8480 N, lon=008 46.6339 W, hms=000306, dmy=201018
t1= 15.1391, c1= 4.29554, s= 34.9100, t2= 17.1847, lat=51 25.8486 N, lon=008 46.6117 W, hms=000316, dmy=201018
t1= 15.1390, c1= 4.29539, s= 34.9087, t2= 17.1844, lat=51 25.8544 N, lon=008 46.4254 W, hms=000442, dmy=201018
t1= 15.1396, c1= 4.29542, s= 34.9083, t2= 17.1845, lat=51 25.8549 N, lon=008 46.4069 W, hms=000451, dmy=201018
t1= 15.1396, c1= 4.29542, s= 34.9084, t2= 17.1845, lat=51 25.8556 N, lon=008 46.3884 W, hms=000500, dmy=201018
t1= 15.1396, c1= 4.29544, s= 34.9085, t2= 17.1846, lat=51 25.8564 N, lon=008 46.3699 W, hms=000509, dmy=201018
t1= 15.1396, c1= 4.29544, s= 34.9086, t2= 17.1846, lat=51 25.8571 N, lon=008 46.3515 W, hms=000518, dmy=201018
t1= 15.1400, c1= 4.29542, s= 34.9080, t2= 17.1846, lat=51 25.8578 N, lon=008 46.3328 W, hms=000527, dmy=201018
t1= 15.1400, c1= 4.29537, s= 34.9076, t2= 17.1841, lat=51 25.8586 N, lon=008 46.3139 W, hms=000536, dmy=201018
t1= 15.1402, c1= 4.29543, s= 34.9080, t2= 17.1842, lat=51 25.8592 N, lon=008 46.2951 W, hms=000545, dmy=201018
t1= 15.1405, c1= 4.29546, s= 34.9080, t2= 17.1839, lat=51 25.8599 N, lon=008 46.2758 W, hms=000554, dmy=201018
t1= 15.1401, c1= 4.29539, s= 34.9077, t2= 17.1844, lat=51 25.8606 N, lon=008 46.2566 W, hms=000603, dmy=201018
t1= 15.1411, c1= 4.29533, s= 34.9063, t2= 17.1841, lat=51 25.8611 N, lon=008 46.2370 W, hms=000612, dmy=201018
t1= 15.1411, c1= 4.29550, s= 34.9078, t2= 17.1840, lat=51 25.8618 N, lon=008 46.2175 W, hms=000621, dmy=201018
t1= 15.1408, c1= 4.29554, s= 34.9084, t2= 17.1841, lat=51 25.8626 N, lon=008 46.1917 W, hms=000633, dmy=201018
t1= 15.1417, c1= 4.29557, s= 34.9079, t2= 17.1839, lat=51 25.8633 N, lon=008 46.1725 W, hms=000642, dmy=201018
t1= 15.1413, c1= 4.29557, s= 34.9082, t2= 17.1842, lat=51 25.8642 N, lon=008 46.1533 W, hms=000651, dmy=201018
t1= 15.1419, c1= 4.29565, s= 34.9085, t2= 17.1838, lat=51 25.8651 N, lon=008 46.1340 W, hms=000700, dmy=201018
t1= 15.1420, c1= 4.29557, s= 34.9076, t2= 17.1842, lat=51 25.8658 N, lon=008 46.1147 W, hms=000709, dmy=201018
t1= 15.1419, c1= 4.29548, s= 34.9069, t2= 17.1838, lat=51 25.8663 N, lon=008 46.0956 W, hms=000718, dmy=201018
t1= 15.1418, c1= 4.29573, s= 34.9092, t2= 17.1836, lat=51 25.8668 N, lon=008 46.0763 W, hms=000727, dmy=201018
t1= 15.1426, c1= 4.29554, s= 34.9069, t2= 17.1837, lat=51 25.8673 N, lon=008 46.0572 W, hms=000736, dmy=201018
t1= 15.1437, c1= 4.29594, s= 34.9095, t2= 17.1834, lat=51 25.8678 N, lon=008 46.0365 W, hms=000746, dmy=201018
t1= 15.1439, c1= 4.29567, s= 34.9069, t2= 17.1833, lat=51 25.8686 N, lon=008 46.0159 W, hms=000756, dmy=201018
t1= 15.1436, c1= 4.29578, s= 34.9081, t2= 17.1837, lat=51 25.8696 N, lon=008 45.9955 W, hms=000806, dmy=201018
t1= 15.1434, c1= 4.29587, s= 34.9091, t2= 17.1834, lat=51 25.8707 N, lon=008 45.9753 W, hms=000816, dmy=201018
t1= 15.1434, c1= 4.29575, s= 34.9080, t2= 17.1833, lat=51 25.8718 N, lon=008 45.9550 W, hms=000826, dmy=201018
t1= 15.1435, c1= 4.29585, s= 34.9089, t2= 17.1834, lat=51 25.8727 N, lon=008 45.9348 W, hms=000836, dmy=201018
t1= 15.1426, c1= 4.29570, s= 34.9082, t2= 17.1828, lat=51 25.8736 N, lon=008 45.9148 W, hms=000846, dmy=201018
t1= 15.1433, c1= 4.29587, s= 34.9092, t2= 17.1829, lat=51 25.8746 N, lon=008 45.8948 W, hms=000856, dmy=201018
