t1= 18.8318, c1= 4.49746, s= 33.5261, t2= 18.7662, lat=43 26.0827 N, lon=062 12.2876 W, hms=000723, dmy=081018
t1= 18.8291, c1= 4.49712, s= 33.5254, t2= 18.7743, lat=43 26.0852 N, lon=062 12.2599 W, hms=000733, dmy=081018
t1= 18.8268, c1= 4.49694, s= 33.5258, t2= 18.7688, lat=43 26.0878 N, lon=062 12.2323 W, hms=000743, dmy=081018
t1= 18.8262, c1= 4.49687, s= 33.5257, t2= 18.7707, lat=43 26.0904 N, lon=062 12.2048 W, hms=000753, dmy=081018
t1= 18.8300, c1= 4.49719, s= 33.5252, t2= 18.7712, lat=43 26.0929 N, lon=062 12.1772 W, hms=000803, dmy=081018
t1= 18.8295, c1= 4.49714, s= 33.5253, t2= 18.7711, lat=43 26.0952 N, lon=062 12.1494 W, hms=000813, dmy=081018
t1= 18.8300, c1= 4.49712, s= 33.5247, t2= 18.7697, lat=43 26.0974 N, lon=062 12.1215 W, hms=000823, dmy=081018
t1= 18.8294, c1= 4.49711, s= 33.5251, t2= 18.7683, lat=43 26.0997 N, lon=062 12.0935 W, hms=000833, dmy=081018
t1= 18.8290, c1= 4.49707, s= 33.5250, t2= 18.7643, lat=43 26.1021 N, lon=062 12.0657 W, hms=000843, dmy=081018
t1= 18.8290, c1= 4.49704, s= 33.5248, t2= 18.7599, lat=43 26.1048 N, lon=062 12.0381 W, hms=000853, dmy=081018
t1= 18.8272, c1= 4.49689, s= 33.5250, t2= 18.7585, lat=43 26.1074 N, lon=062 12.0107 W, hms=000903, dmy=081018
t1= 18.8239, c1= 4.49655, s= 33.5249, t2= 18.7654, lat=43 26.1100 N, lon=062 11.9834 W, hms=000913, dmy=081018
t1= 18.8210, c1= 4.49633, s= 33.5254, t2= 18.7633, lat=43 26.1128 N, lon=062 11.9561 W, hms=000923, dmy=081018
t1= 18.8193, c1= 4.49631, s= 33.5266, t2= 18.7646, lat=43 26.1156 N, lon=062 11.9287 W, hms=000933, dmy=081018
t1= 18.8217, c1= 4.49665, s= 33.5275, t2= 18.7665, lat=43 26.1186 N, lon=062 11.9013 W, hms=000943, dmy=081018
t1= 18.8219, c1= 4.49674, s= 33.5281, t2= 18.7621, lat=43 26.1217 N, lon=062 11.8740 W, hms=000953, dmy=081018
t1= 18.8235, c1= 4.49685, s= 33.5277, t2= 18.7617, lat=43 26.1248 N, lon=062 11.8465 W, hms=001003, dmy=081018
t1= 18.8240, c1= 4.49692, s= 33.5279, t2= 18.7609, lat=43 26.1278 N, lon=062 11.8189 W, hms=001013, dmy=081018
t1= 18.8226, c1= 4.49680, s= 33.5281, t2= 18.7611, lat=43 26.1305 N, lon=062 11.7911 W, hms=001023, dmy=081018
t1= 18.8220, c1= 4.49671, s= 33.5278, t2= 18.7561, lat=43 26.1330 N, lon=062 11.7631 W, hms=001033, dmy=081018
t1= 18.8206, c1= 4.49667, s= 33.5285, t2= 18.7480, lat=43 26.1350 N, lon=062 11.7350 W, hms=001043, dmy=081018
t1= 18.8199, c1= 4.49653, s= 33.5280, t2= 18.7447, lat=43 26.1370 N, lon=062 11.7069 W, hms=001053, dmy=081018
t1= 18.8157, c1= 4.49602, s= 33.5271, t2= 18.7384, lat=43 26.1391 N, lon=062 11.6788 W, hms=001103, dmy=081018
t1= 18.8131, c1= 4.49513, s= 33.5218, t2= 18.7316, lat=43 26.1413 N, lon=062 11.6508 W, hms=001113, dmy=081018
t1= 18.8039, c1= 4.49376, s= 33.5178, t2= 18.7212, lat=43 26.1434 N, lon=062 11.6229 W, hms=001123, dmy=081018
t1= 18.7941, c1= 4.49252, s= 33.5154, t2= 18.7202, lat=43 26.1454 N, lon=062 11.5949 W, hms=001133, dmy=081018
t1= 18.7847, c1= 4.49130, s= 33.5129, t2= 18.7350, lat=43 26.1476 N, lon=062 11.5670 W, hms=001143, dmy=081018
t1= 18.7811, c1= 4.49085, s= 33.5120, t2= 18.7224, lat=43 26.1497 N, lon=062 11.5391 W, hms=001153, dmy=081018
t1= 18.7852, c1= 4.49128, s= 33.5123, t2= 18.7200, lat=43 26.1518 N, lon=062 11.5113 W, hms=001203, dmy=081018
