t1= 12.1665, c1= 3.67984, s= 31.7524, t2= 12.0715, lat=45 55.8461 N, lon=050 46.0703 W, hms=000014, dmy=111018
t1= 12.1683, c1= 3.68002, s= 31.7525, t2= 12.0566, lat=45 55.8626 N, lon=050 46.0042 W, hms=000033, dmy=111018
t1= 12.1641, c1= 3.67959, s= 31.7520, t2= 12.0545, lat=45 55.8800 N, lon=050 45.9378 W, hms=000052, dmy=111018
t1= 12.1522, c1= 3.67868, s= 31.7534, t2= 12.0501, lat=45 55.8969 N, lon=050 45.8701 W, hms=000111, dmy=111018
t1= 12.1476, c1= 3.67828, s= 31.7534, t2= 12.0491, lat=45 55.9129 N, lon=050 45.8030 W, hms=000130, dmy=111018
t1= 12.1432, c1= 3.67796, s= 31.7541, t2= 12.0477, lat=45 55.9285 N, lon=050 45.7383 W, hms=000149, dmy=111018
t1= 12.1407, c1= 3.67784, s= 31.7551, t2= 12.0638, lat=45 55.9410 N, lon=050 45.6747 W, hms=000208, dmy=111018
t1= 12.1393, c1= 3.67776, s= 31.7556, t2= 12.0713, lat=45 55.9519 N, lon=050 45.6128 W, hms=000227, dmy=111018
t1= 12.1532, c1= 3.67914, s= 31.7569, t2= 12.0682, lat=45 55.9624 N, lon=050 45.5511 W, hms=000246, dmy=111018
t1= 12.1589, c1= 3.67955, s= 31.7561, t2= 12.0779, lat=45 55.9727 N, lon=050 45.4884 W, hms=000305, dmy=111018
t1= 12.1593, c1= 3.67959, s= 31.7561, t2= 12.0758, lat=45 55.9846 N, lon=050 45.4247 W, hms=000324, dmy=111018
t1= 12.1642, c1= 3.68007, s= 31.7565, t2= 12.0836, lat=45 55.9974 N, lon=050 45.3601 W, hms=000343, dmy=111018
t1= 12.1656, c1= 3.68016, s= 31.7562, t2= 12.0889, lat=45 56.0124 N, lon=050 45.2956 W, hms=000402, dmy=111018
t1= 12.1709, c1= 3.68073, s= 31.7571, t2= 12.0966, lat=45 56.0262 N, lon=050 45.2309 W, hms=000421, dmy=111018
t1= 12.1759, c1= 3.68126, s= 31.7580, t2= 12.1097, lat=45 56.0400 N, lon=050 45.1666 W, hms=000440, dmy=111018
t1= 12.1811, c1= 3.68212, s= 31.7618, t2= 12.1124, lat=45 56.0545 N, lon=050 45.1004 W, hms=000459, dmy=111018
t1= 12.1912, c1= 3.68333, s= 31.7649, t2= 12.1087, lat=45 56.0699 N, lon=050 45.0331 W, hms=000518, dmy=111018
t1= 12.1971, c1= 3.68398, s= 31.7661, t2= 12.0959, lat=45 56.0853 N, lon=050 44.9666 W, hms=000537, dmy=111018
t1= 12.1962, c1= 3.68377, s= 31.7648, t2= 12.1196, lat=45 56.0990 N, lon=050 44.9006 W, hms=000556, dmy=111018
t1= 12.1884, c1= 3.68289, s= 31.7631, t2= 12.1141, lat=45 56.1135 N, lon=050 44.8341 W, hms=000615, dmy=111018
t1= 11.9618, c1= 3.65828, s= 31.7190, t2= 11.8792, lat=45 56.2063 N, lon=050 44.4145 W, hms=000813, dmy=111018
t1= 11.9652, c1= 3.65869, s= 31.7201, t2= 11.8791, lat=45 56.2232 N, lon=050 44.3456 W, hms=000833, dmy=111018
t1= 11.9692, c1= 3.65917, s= 31.7212, t2= 11.9095, lat=45 56.2380 N, lon=050 44.2754 W, hms=000853, dmy=111018
t1= 11.9718, c1= 3.65949, s= 31.7221, t2= 11.9045, lat=45 56.2528 N, lon=050 44.2078 W, hms=000912, dmy=111018
t1= 11.9869, c1= 3.66092, s= 31.7231, t2= 11.9022, lat=45 56.2663 N, lon=050 44.1398 W, hms=000931, dmy=111018
t1= 11.9929, c1= 3.66143, s= 31.7229, t2= 11.9089, lat=45 56.2812 N, lon=050 44.0733 W, hms=000950, dmy=111018
t1= 11.9932, c1= 3.66156, s= 31.7239, t2= 11.9162, lat=45 56.2968 N, lon=050 44.0073 W, hms=001009, dmy=111018
t1= 11.9971, c1= 3.66197, s= 31.7246, t2= 11.9298, lat=45 56.3121 N, lon=050 43.9441 W, hms=001028, dmy=111018
t1= 12.0047, c1= 3.66281, s= 31.7261, t2= 11.9364, lat=45 56.3244 N, lon=050 43.8810 W, hms=001047, dmy=111018
t1= 12.0165, c1= 3.66390, s= 31.7266, t2= 11.9425, lat=45 56.3358 N, lon=050 43.8131 W, hms=001107, dmy=111018
t1= 12.0237, c1= 3.66473, s= 31.7285, t2= 11.9532, lat=45 56.3457 N, lon=050 43.7489 W, hms=001126, dmy=111018
t1= 12.0265, c1= 3.66524, s= 31.7310, t2= 11.9618, lat=45 56.3567 N, lon=050 43.6821 W, hms=001146, dmy=111018
t1= 12.0350, c1= 3.66630, s= 31.7340, t2= 11.9726, lat=45 56.3673 N, lon=050 43.6151 W, hms=001206, dmy=111018
t1= 12.0450, c1= 3.66734, s= 31.7355, t2= 11.9797, lat=45 56.3790 N, lon=050 43.5476 W, hms=001226, dmy=111018
t1= 12.0544, c1= 3.66828, s= 31.7366, t2= 11.9963, lat=45 56.3912 N, lon=050 43.4823 W, hms=001246, dmy=111018
t1= 12.0622, c1= 3.66910, s= 31.7378, t2= 12.0006, lat=45 56.4018 N, lon=050 43.4151 W, hms=001306, dmy=111018
t1= 12.0729, c1= 3.67011, s= 31.7385, t2= 12.0081, lat=45 56.4124 N, lon=050 43.3501 W, hms=001325, dmy=111018
t1= 12.0823, c1= 3.67097, s= 31.7387, t2= 12.0097, lat=45 56.4243 N, lon=050 43.2866 W, hms=001344, dmy=111018
t1= 12.0877, c1= 3.67152, s= 31.7394, t2= 12.0164, lat=45 56.4349 N, lon=050 43.2238 W, hms=001403, dmy=111018
t1= 12.0932, c1= 3.67203, s= 31.7396, t2= 12.0239, lat=45 56.4447 N, lon=050 43.1574 W, hms=001423, dmy=111018
t1= 12.3026, c1= 3.69422, s= 31.7746, t2= 12.2240, lat=45 56.4555 N, lon=050 43.0858 W, hms=001444, dmy=111018
t1= 12.3034, c1= 3.69424, s= 31.7741, t2= 12.2222, lat=45 56.4672 N, lon=050 43.0151 W, hms=001504, dmy=111018
t1= 12.3029, c1= 3.69422, s= 31.7744, t2= 12.2358, lat=45 56.4812 N, lon=050 42.9434 W, hms=001524, dmy=111018
