t1= 13.6816, c1= 4.22090, s= 35.5478, t2= 13.6073, lat=50 46.2920 N, lon=013 02.9873 W, hms=000007, dmy=191018
t1= 13.6786, c1= 4.22061, s= 35.5478, t2= 13.6047, lat=50 46.2985 N, lon=013 02.9505 W, hms=000017, dmy=191018
t1= 13.6748, c1= 4.22023, s= 35.5477, t2= 13.6040, lat=50 46.3050 N, lon=013 02.9128 W, hms=000027, dmy=191018
t1= 13.6722, c1= 4.21995, s= 35.5475, t2= 13.6115, lat=50 46.3114 N, lon=013 02.8753 W, hms=000037, dmy=191018
t1= 13.6745, c1= 4.22021, s= 35.5478, t2= 13.6060, lat=50 46.3182 N, lon=013 02.8374 W, hms=000047, dmy=191018
t1= 13.6774, c1= 4.22046, s= 35.5475, t2= 13.6077, lat=50 46.3249 N, lon=013 02.7987 W, hms=000057, dmy=191018
t1= 13.6755, c1= 4.22027, s= 35.5474, t2= 13.6054, lat=50 46.3315 N, lon=013 02.7604 W, hms=000107, dmy=191018
t1= 13.6746, c1= 4.22023, s= 35.5479, t2= 13.6059, lat=50 46.3386 N, lon=013 02.7224 W, hms=000117, dmy=191018
t1= 13.6721, c1= 4.21997, s= 35.5478, t2= 13.6063, lat=50 46.3461 N, lon=013 02.6841 W, hms=000127, dmy=191018
t1= 13.6724, c1= 4.21999, s= 35.5477, t2= 13.5977, lat=50 46.3533 N, lon=013 02.6455 W, hms=000137, dmy=191018
t1= 13.6712, c1= 4.21993, s= 35.5483, t2= 13.5938, lat=50 46.3602 N, lon=013 02.6062 W, hms=000147, dmy=191018
t1= 13.6666, c1= 4.21946, s= 35.5482, t2= 13.5910, lat=50 46.3666 N, lon=013 02.5666 W, hms=000157, dmy=191018
t1= 13.6626, c1= 4.21900, s= 35.5475, t2= 13.5907, lat=50 46.3728 N, lon=013 02.5278 W, hms=000207, dmy=191018
t1= 13.6600, c1= 4.21872, s= 35.5473, t2= 13.5871, lat=50 46.3789 N, lon=013 02.4899 W, hms=000217, dmy=191018
t1= 13.6585, c1= 4.21860, s= 35.5475, t2= 13.5894, lat=50 46.3855 N, lon=013 02.4531 W, hms=000227, dmy=191018
t1= 13.6569, c1= 4.21836, s= 35.5468, t2= 13.5964, lat=50 46.3926 N, lon=013 02.4168 W, hms=000237, dmy=191018
t1= 13.6584, c1= 4.21858, s= 35.5475, t2= 13.5951, lat=50 46.3995 N, lon=013 02.3815 W, hms=000247, dmy=191018
t1= 13.6630, c1= 4.21900, s= 35.5472, t2= 13.5931, lat=50 46.4063 N, lon=013 02.3463 W, hms=000257, dmy=191018
t1= 13.6624, c1= 4.21894, s= 35.5471, t2= 13.5938, lat=50 46.4129 N, lon=013 02.3106 W, hms=000307, dmy=191018
t1= 13.6609, c1= 4.21881, s= 35.5473, t2= 13.5915, lat=50 46.4193 N, lon=013 02.2740 W, hms=000317, dmy=191018
t1= 13.6605, c1= 4.21872, s= 35.5469, t2= 13.5947, lat=50 46.4665 N, lon=013 02.0145 W, hms=000429, dmy=191018
t1= 13.6597, c1= 4.21866, s= 35.5470, t2= 13.5883, lat=50 46.4717 N, lon=013 01.9857 W, hms=000437, dmy=191018
t1= 13.6606, c1= 4.21870, s= 35.5465, t2= 13.5800, lat=50 46.4769 N, lon=013 01.9569 W, hms=000445, dmy=191018
t1= 13.6577, c1= 4.21841, s= 35.5465, t2= 13.5764, lat=50 46.4819 N, lon=013 01.9282 W, hms=000453, dmy=191018
t1= 13.6509, c1= 4.21771, s= 35.5462, t2= 13.5733, lat=50 46.4868 N, lon=013 01.9003 W, hms=000501, dmy=191018
t1= 13.6464, c1= 4.21722, s= 35.5459, t2= 13.5714, lat=50 46.4914 N, lon=013 01.8725 W, hms=000509, dmy=191018
