t1= 14.4853, c1= 4.23508, s= 34.9433, t2= 15.3977, lat=51 42.0853 N, lon=008 31.0423 W, hms=000029, dmy=241018
t1= 14.4849, c1= 4.23507, s= 34.9436, t2= 15.3975, lat=51 42.0853 N, lon=008 31.0427 W, hms=000133, dmy=241018
t1= 14.4854, c1= 4.23506, s= 34.9430, t2= 15.3972, lat=51 42.0850 N, lon=008 31.0419 W, hms=000306, dmy=241018
t1= 14.4846, c1= 4.23505, s= 34.9437, t2= 15.3975, lat=51 42.0858 N, lon=008 31.0415 W, hms=000410, dmy=241018
t1= 14.4847, c1= 4.23504, s= 34.9435, t2= 15.3970, lat=51 42.0853 N, lon=008 31.0413 W, hms=000514, dmy=241018
t1= 14.4844, c1= 4.23501, s= 34.9434, t2= 15.3965, lat=51 42.0837 N, lon=008 31.0427 W, hms=000618, dmy=241018
t1= 14.4839, c1= 4.23502, s= 34.9440, t2= 15.3966, lat=51 42.0846 N, lon=008 31.0426 W, hms=000722, dmy=241018
t1= 14.4840, c1= 4.23499, s= 34.9436, t2= 15.3963, lat=51 42.0854 N, lon=008 31.0424 W, hms=000826, dmy=241018
t1= 14.4843, c1= 4.23497, s= 34.9432, t2= 15.3958, lat=51 42.0852 N, lon=008 31.0427 W, hms=000930, dmy=241018
t1= 14.4839, c1= 4.23497, s= 34.9435, t2= 15.3958, lat=51 42.0838 N, lon=008 31.0443 W, hms=001034, dmy=241018
t1= 14.4837, c1= 4.23495, s= 34.9436, t2= 15.3956, lat=51 42.0843 N, lon=008 31.0436 W, hms=001138, dmy=241018
t1= 14.4837, c1= 4.23497, s= 34.9437, t2= 15.3950, lat=51 42.0857 N, lon=008 31.0429 W, hms=001242, dmy=241018
t1= 14.4833, c1= 4.23491, s= 34.9435, t2= 15.3948, lat=51 42.0858 N, lon=008 31.0428 W, hms=001346, dmy=241018
t1= 14.4829, c1= 4.23492, s= 34.9440, t2= 15.3948, lat=51 42.0849 N, lon=008 31.0428 W, hms=001450, dmy=241018
t1= 14.4830, c1= 4.23491, s= 34.9438, t2= 15.3944, lat=51 42.0853 N, lon=008 31.0422 W, hms=001554, dmy=241018
t1= 14.4827, c1= 4.23490, s= 34.9440, t2= 15.3943, lat=51 42.0855 N, lon=008 31.0411 W, hms=001658, dmy=241018
t1= 14.4830, c1= 4.23487, s= 34.9435, t2= 15.3938, lat=51 42.0855 N, lon=008 31.0408 W, hms=001802, dmy=241018
t1= 14.4825, c1= 4.23486, s= 34.9438, t2= 15.3938, lat=51 42.0859 N, lon=008 31.0403 W, hms=001906, dmy=241018
t1= 14.4823, c1= 4.23485, s= 34.9439, t2= 15.3933, lat=51 42.0856 N, lon=008 31.0409 W, hms=002010, dmy=241018
t1= 14.4823, c1= 4.23484, s= 34.9437, t2= 15.3934, lat=51 42.0862 N, lon=008 31.0411 W, hms=002114, dmy=241018
t1= 14.4442, c1= 4.23150, s= 34.9474, t2= 15.3450, lat=51 42.0851 N, lon=008 31.0408 W, hms=002317, dmy=241018
t1= 14.4438, c1= 4.23148, s= 34.9475, t2= 15.3447, lat=51 42.0850 N, lon=008 31.0407 W, hms=002326, dmy=241018
t1= 14.4439, c1= 4.23145, s= 34.9472, t2= 15.3444, lat=51 42.0848 N, lon=008 31.0405 W, hms=002335, dmy=241018
t1= 14.4431, c1= 4.23145, s= 34.9479, t2= 15.3443, lat=51 42.0844 N, lon=008 31.0406 W, hms=002344, dmy=241018
t1= 14.4429, c1= 4.23145, s= 34.9481, t2= 15.3439, lat=51 42.0837 N, lon=008 31.0414 W, hms=002353, dmy=241018
t1= 14.4434, c1= 4.23141, s= 34.9473, t2= 15.3437, lat=51 42.0832 N, lon=008 31.0419 W, hms=002402, dmy=241018
t1= 14.4428, c1= 4.23141, s= 34.9479, t2= 15.3435, lat=51 42.0830 N, lon=008 31.0421 W, hms=002411, dmy=241018
t1= 14.4430, c1= 4.23137, s= 34.9473, t2= 15.3431, lat=51 42.0830 N, lon=008 31.0421 W, hms=002420, dmy=241018
t1= 14.4421, c1= 4.23134, s= 34.9478, t2= 15.3432, lat=51 42.0832 N, lon=008 31.0422 W, hms=002429, dmy=241018
t1= 14.4423, c1= 4.23134, s= 34.9477, t2= 15.3431, lat=51 42.0834 N, lon=008 31.0422 W, hms=002438, dmy=241018
t1= 14.4424, c1= 4.23139, s= 34.9480, t2= 15.3425, lat=51 42.0836 N, lon=008 31.0421 W, hms=002447, dmy=241018
