t1= 13.8689, c1= 4.20412, s= 35.2169, t2= 13.7948, lat=50 03.5253 N, lon=006 33.8157 W, hms=000004, dmy=251018
t1= 13.8697, c1= 4.20417, s= 35.2167, t2= 13.7956, lat=50 03.5083 N, lon=006 33.7955 W, hms=000014, dmy=251018
t1= 13.8692, c1= 4.20415, s= 35.2169, t2= 13.7910, lat=50 03.4912 N, lon=006 33.7755 W, hms=000024, dmy=251018
t1= 13.8696, c1= 4.20415, s= 35.2166, t2= 13.7889, lat=50 03.4740 N, lon=006 33.7555 W, hms=000034, dmy=251018
t1= 13.8675, c1= 4.20386, s= 35.2158, t2= 13.7888, lat=50 03.4567 N, lon=006 33.7357 W, hms=000044, dmy=251018
t1= 13.8654, c1= 4.20374, s= 35.2166, t2= 13.7887, lat=50 03.4392 N, lon=006 33.7163 W, hms=000054, dmy=251018
t1= 13.8656, c1= 4.20368, s= 35.2158, t2= 13.7883, lat=50 03.4218 N, lon=006 33.6968 W, hms=000104, dmy=251018
t1= 13.8650, c1= 4.20364, s= 35.2160, t2= 13.7941, lat=50 03.4043 N, lon=006 33.6772 W, hms=000114, dmy=251018
t1= 13.8644, c1= 4.20357, s= 35.2159, t2= 13.7947, lat=50 03.3869 N, lon=006 33.6577 W, hms=000124, dmy=251018
t1= 13.8688, c1= 4.20412, s= 35.2169, t2= 13.7965, lat=50 03.3695 N, lon=006 33.6380 W, hms=000134, dmy=251018
t1= 13.8707, c1= 4.20431, s= 35.2170, t2= 13.7975, lat=50 03.3522 N, lon=006 33.6182 W, hms=000144, dmy=251018
t1= 13.8712, c1= 4.20434, s= 35.2169, t2= 13.7970, lat=50 03.3349 N, lon=006 33.5983 W, hms=000154, dmy=251018
t1= 13.8719, c1= 4.20439, s= 35.2167, t2= 13.7973, lat=50 03.3177 N, lon=006 33.5783 W, hms=000204, dmy=251018
t1= 13.8723, c1= 4.20441, s= 35.2165, t2= 13.7986, lat=50 03.3007 N, lon=006 33.5585 W, hms=000214, dmy=251018
t1= 13.8723, c1= 4.20441, s= 35.2166, t2= 13.7954, lat=50 03.2836 N, lon=006 33.5387 W, hms=000224, dmy=251018
t1= 13.8735, c1= 4.20452, s= 35.2164, t2= 13.7953, lat=50 03.2666 N, lon=006 33.5191 W, hms=000234, dmy=251018
t1= 13.8719, c1= 4.20437, s= 35.2165, t2= 13.7958, lat=50 03.2497 N, lon=006 33.4996 W, hms=000244, dmy=251018
t1= 13.8708, c1= 4.20432, s= 35.2171, t2= 13.7956, lat=50 03.2326 N, lon=006 33.4801 W, hms=000254, dmy=251018
t1= 13.8716, c1= 4.20437, s= 35.2167, t2= 13.7981, lat=50 03.2155 N, lon=006 33.4605 W, hms=000304, dmy=251018
t1= 13.8716, c1= 4.20445, s= 35.2176, t2= 13.7974, lat=50 03.1982 N, lon=006 33.4406 W, hms=000314, dmy=251018
t1= 13.8726, c1= 4.20456, s= 35.2176, t2= 13.8077, lat=50 03.0200 N, lon=006 33.2367 W, hms=000456, dmy=251018
t1= 13.8737, c1= 4.20475, s= 35.2184, t2= 13.8022, lat=50 03.0022 N, lon=006 33.2168 W, hms=000506, dmy=251018
t1= 13.8815, c1= 4.20547, s= 35.2180, t2= 13.8020, lat=50 02.9845 N, lon=006 33.1967 W, hms=000516, dmy=251018
t1= 13.8789, c1= 4.20521, s= 35.2180, t2= 13.8019, lat=50 02.9668 N, lon=006 33.1767 W, hms=000526, dmy=251018
t1= 13.8778, c1= 4.20513, s= 35.2182, t2= 13.8011, lat=50 02.9492 N, lon=006 33.1571 W, hms=000536, dmy=251018
t1= 13.8777, c1= 4.20513, s= 35.2183, t2= 13.8005, lat=50 02.9314 N, lon=006 33.1375 W, hms=000546, dmy=251018
t1= 13.8771, c1= 4.20507, s= 35.2182, t2= 13.7971, lat=50 02.9085 N, lon=006 33.1123 W, hms=000559, dmy=251018
t1= 13.8766, c1= 4.20505, s= 35.2185, t2= 13.7941, lat=50 02.8910 N, lon=006 33.0928 W, hms=000609, dmy=251018
t1= 13.8749, c1= 4.20488, s= 35.2185, t2= 13.7916, lat=50 02.8735 N, lon=006 33.0733 W, hms=000619, dmy=251018
t1= 13.8712, c1= 4.20454, s= 35.2188, t2= 13.7888, lat=50 02.8560 N, lon=006 33.0537 W, hms=000629, dmy=251018
t1= 13.8685, c1= 4.20435, s= 35.2194, t2= 13.7877, lat=50 02.8386 N, lon=006 33.0341 W, hms=000639, dmy=251018
t1= 13.8667, c1= 4.20416, s= 35.2193, t2= 13.7887, lat=50 02.8211 N, lon=006 33.0144 W, hms=000649, dmy=251018
t1= 13.8651, c1= 4.20404, s= 35.2197, t2= 13.7959, lat=50 02.8037 N, lon=006 32.9947 W, hms=000659, dmy=251018
t1= 13.8652, c1= 4.20402, s= 35.2194, t2= 13.7968, lat=50 02.7864 N, lon=006 32.9751 W, hms=000709, dmy=251018
t1= 13.8711, c1= 4.20460, s= 35.2194, t2= 13.7923, lat=50 02.7690 N, lon=006 32.9553 W, hms=000719, dmy=251018
t1= 13.8718, c1= 4.20469, s= 35.2196, t2= 13.7938, lat=50 02.7515 N, lon=006 32.9358 W, hms=000729, dmy=251018
t1= 13.8698, c1= 4.20448, s= 35.2194, t2= 13.7954, lat=50 02.7342 N, lon=006 32.9163 W, hms=000739, dmy=251018
t1= 13.8699, c1= 4.20447, s= 35.2193, t2= 13.7943, lat=50 02.7168 N, lon=006 32.8966 W, hms=000749, dmy=251018
t1= 13.8706, c1= 4.20451, s= 35.2191, t2= 13.7959, lat=50 02.6994 N, lon=006 32.8770 W, hms=000759, dmy=251018
t1= 13.8703, c1= 4.20451, s= 35.2193, t2= 13.7909, lat=50 02.6822 N, lon=006 32.8574 W, hms=000809, dmy=251018
t1= 13.8777, c1= 4.20505, s= 35.2175, t2= 13.8124, lat=50 02.6565 N, lon=006 32.8276 W, hms=000824, dmy=251018
t1= 13.8812, c1= 4.20528, s= 35.2165, t2= 13.8163, lat=50 02.6343 N, lon=006 32.8018 W, hms=000837, dmy=251018
t1= 13.8847, c1= 4.20556, s= 35.2159, t2= 13.8211, lat=50 02.6171 N, lon=006 32.7818 W, hms=000847, dmy=251018
t1= 13.8886, c1= 4.20582, s= 35.2147, t2= 13.8284, lat=50 02.6000 N, lon=006 32.7621 W, hms=000857, dmy=251018
t1= 13.8927, c1= 4.20612, s= 35.2137, t2= 13.8346, lat=50 02.5829 N, lon=006 32.7423 W, hms=000907, dmy=251018
t1= 13.8988, c1= 4.20657, s= 35.2123, t2= 13.8409, lat=50 02.5659 N, lon=006 32.7224 W, hms=000917, dmy=251018
t1= 13.9056, c1= 4.20710, s= 35.2111, t2= 13.8446, lat=50 02.5490 N, lon=006 32.7026 W, hms=000927, dmy=251018
t1= 13.9117, c1= 4.20763, s= 35.2105, t2= 13.8528, lat=50 02.5320 N, lon=006 32.6829 W, hms=000937, dmy=251018
t1= 13.9174, c1= 4.20817, s= 35.2102, t2= 13.8540, lat=50 02.5150 N, lon=006 32.6634 W, hms=000947, dmy=251018
t1= 13.9241, c1= 4.20881, s= 35.2101, t2= 13.8557, lat=50 02.4979 N, lon=006 32.6440 W, hms=000957, dmy=251018
t1= 13.9264, c1= 4.20899, s= 35.2096, t2= 13.8586, lat=50 02.4807 N, lon=006 32.6246 W, hms=001007, dmy=251018
t1= 13.9293, c1= 4.20917, s= 35.2088, t2= 13.8638, lat=50 02.4634 N, lon=006 32.6053 W, hms=001017, dmy=251018
t1= 13.9323, c1= 4.20947, s= 35.2088, t2= 13.8651, lat=50 02.4461 N, lon=006 32.5860 W, hms=001027, dmy=251018
t1= 13.9355, c1= 4.20979, s= 35.2088, t2= 13.8651, lat=50 02.4290 N, lon=006 32.5665 W, hms=001037, dmy=251018
t1= 13.9374, c1= 4.20987, s= 35.2079, t2= 13.8648, lat=50 02.4120 N, lon=006 32.5467 W, hms=001047, dmy=251018
t1= 13.9386, c1= 4.20992, s= 35.2072, t2= 13.8657, lat=50 02.3951 N, lon=006 32.5271 W, hms=001057, dmy=251018
t1= 13.9387, c1= 4.20990, s= 35.2070, t2= 13.8642, lat=50 02.3782 N, lon=006 32.5075 W, hms=001107, dmy=251018
t1= 13.9401, c1= 4.20995, s= 35.2062, t2= 13.8653, lat=50 02.3615 N, lon=006 32.4881 W, hms=001117, dmy=251018
t1= 13.9395, c1= 4.20994, s= 35.2066, t2= 13.8633, lat=50 02.3447 N, lon=006 32.4684 W, hms=001127, dmy=251018
t1= 13.9402, c1= 4.20992, s= 35.2057, t2= 13.8788, lat=50 02.3279 N, lon=006 32.4486 W, hms=001137, dmy=251018
t1= 13.9451, c1= 4.21039, s= 35.2057, t2= 13.8686, lat=50 02.2992 N, lon=006 32.4146 W, hms=001154, dmy=251018
t1= 13.9444, c1= 4.21033, s= 35.2057, t2= 13.8677, lat=50 02.2824 N, lon=006 32.3946 W, hms=001204, dmy=251018
t1= 13.9431, c1= 4.21023, s= 35.2060, t2= 13.8654, lat=50 02.2654 N, lon=006 32.3746 W, hms=001214, dmy=251018
t1= 13.9425, c1= 4.21018, s= 35.2060, t2= 13.8630, lat=50 02.2484 N, lon=006 32.3545 W, hms=001224, dmy=251018
t1= 13.9412, c1= 4.21009, s= 35.2064, t2= 13.8606, lat=50 02.2315 N, lon=006 32.3346 W, hms=001234, dmy=251018
t1= 13.9389, c1= 4.20985, s= 35.2062, t2= 13.8494, lat=50 02.2146 N, lon=006 32.3145 W, hms=001244, dmy=251018
t1= 13.9358, c1= 4.20962, s= 35.2070, t2= 13.8423, lat=50 02.1977 N, lon=006 32.2944 W, hms=001254, dmy=251018
t1= 13.9279, c1= 4.20892, s= 35.2076, t2= 13.8349, lat=50 02.1808 N, lon=006 32.2743 W, hms=001304, dmy=251018
t1= 13.9201, c1= 4.20819, s= 35.2080, t2= 13.8302, lat=50 02.1640 N, lon=006 32.2543 W, hms=001314, dmy=251018
t1= 13.9143, c1= 4.20764, s= 35.2082, t2= 13.8263, lat=50 02.1471 N, lon=006 32.2342 W, hms=001324, dmy=251018
t1= 13.9089, c1= 4.20715, s= 35.2086, t2= 13.8325, lat=50 02.1301 N, lon=006 32.2143 W, hms=001334, dmy=251018
t1= 13.9046, c1= 4.20677, s= 35.2090, t2= 13.8336, lat=50 02.1131 N, lon=006 32.1944 W, hms=001344, dmy=251018
t1= 13.9093, c1= 4.20726, s= 35.2092, t2= 13.8293, lat=50 02.0961 N, lon=006 32.1745 W, hms=001354, dmy=251018
t1= 13.9106, c1= 4.20736, s= 35.2090, t2= 13.8289, lat=50 02.0791 N, lon=006 32.1544 W, hms=001404, dmy=251018
t1= 13.9073, c1= 4.20699, s= 35.2086, t2= 13.8263, lat=50 02.0623 N, lon=006 32.1344 W, hms=001414, dmy=251018
t1= 13.9056, c1= 4.20691, s= 35.2093, t2= 13.8255, lat=50 02.0454 N, lon=006 32.1144 W, hms=001424, dmy=251018
t1= 13.9036, c1= 4.20676, s= 35.2098, t2= 13.8234, lat=50 02.0286 N, lon=006 32.0945 W, hms=001434, dmy=251018
