t1= 15.0640, c1= 4.28963, s= 34.9233, t2= 16.7207, lat=51 42.0859 N, lon=008 31.0421 W, hms=000004, dmy=221018
t1= 15.0636, c1= 4.28963, s= 34.9237, t2= 16.7207, lat=51 42.0859 N, lon=008 31.0415 W, hms=000108, dmy=221018
t1= 15.0638, c1= 4.28960, s= 34.9233, t2= 16.7200, lat=51 42.0857 N, lon=008 31.0414 W, hms=000212, dmy=221018
t1= 15.0633, c1= 4.28956, s= 34.9233, t2= 16.7197, lat=51 42.0850 N, lon=008 31.0415 W, hms=000316, dmy=221018
t1= 15.0630, c1= 4.28954, s= 34.9234, t2= 16.7194, lat=51 42.0853 N, lon=008 31.0415 W, hms=000420, dmy=221018
t1= 15.0629, c1= 4.28954, s= 34.9235, t2= 16.7191, lat=51 42.0850 N, lon=008 31.0418 W, hms=000524, dmy=221018
t1= 15.0624, c1= 4.28954, s= 34.9239, t2= 16.7186, lat=51 42.0857 N, lon=008 31.0414 W, hms=000628, dmy=221018
t1= 15.0622, c1= 4.28950, s= 34.9237, t2= 16.7181, lat=51 42.0855 N, lon=008 31.0415 W, hms=000732, dmy=221018
t1= 15.0619, c1= 4.28948, s= 34.9237, t2= 16.7179, lat=51 42.0847 N, lon=008 31.0419 W, hms=000905, dmy=221018
t1= 15.0620, c1= 4.28948, s= 34.9237, t2= 16.7177, lat=51 42.0851 N, lon=008 31.0416 W, hms=001009, dmy=221018
t1= 15.0618, c1= 4.28948, s= 34.9239, t2= 16.7170, lat=51 42.0862 N, lon=008 31.0414 W, hms=001114, dmy=221018
t1= 15.0617, c1= 4.28945, s= 34.9237, t2= 16.7168, lat=51 42.0846 N, lon=008 31.0430 W, hms=001218, dmy=221018
t1= 15.0615, c1= 4.28941, s= 34.9236, t2= 16.7166, lat=51 42.0854 N, lon=008 31.0426 W, hms=001322, dmy=221018
t1= 15.0613, c1= 4.28939, s= 34.9235, t2= 16.7157, lat=51 42.0864 N, lon=008 31.0420 W, hms=001426, dmy=221018
t1= 15.0609, c1= 4.28937, s= 34.9236, t2= 16.7153, lat=51 42.0860 N, lon=008 31.0416 W, hms=001530, dmy=221018
t1= 15.0606, c1= 4.28937, s= 34.9239, t2= 16.7151, lat=51 42.0863 N, lon=008 31.0419 W, hms=001634, dmy=221018
t1= 15.0605, c1= 4.28932, s= 34.9236, t2= 16.7148, lat=51 42.0866 N, lon=008 31.0420 W, hms=001738, dmy=221018
t1= 15.0600, c1= 4.28932, s= 34.9241, t2= 16.7143, lat=51 42.0862 N, lon=008 31.0419 W, hms=001842, dmy=221018
t1= 15.0603, c1= 4.28930, s= 34.9236, t2= 16.7144, lat=51 42.0858 N, lon=008 31.0423 W, hms=001946, dmy=221018
t1= 15.0597, c1= 4.28930, s= 34.9241, t2= 16.7137, lat=51 42.0852 N, lon=008 31.0429 W, hms=002050, dmy=221018
t1= 15.0097, c1= 4.28488, s= 34.9286, t2= 16.6339, lat=51 42.0850 N, lon=008 31.0424 W, hms=002249, dmy=221018
t1= 15.0099, c1= 4.28486, s= 34.9282, t2= 16.6333, lat=51 42.0848 N, lon=008 31.0424 W, hms=002301, dmy=221018
t1= 15.0096, c1= 4.28484, s= 34.9283, t2= 16.6334, lat=51 42.0848 N, lon=008 31.0424 W, hms=002310, dmy=221018
t1= 15.0094, c1= 4.28484, s= 34.9285, t2= 16.6328, lat=51 42.0848 N, lon=008 31.0425 W, hms=002319, dmy=221018
t1= 15.0092, c1= 4.28482, s= 34.9285, t2= 16.6324, lat=51 42.0848 N, lon=008 31.0425 W, hms=002328, dmy=221018
t1= 15.0088, c1= 4.28480, s= 34.9286, t2= 16.6326, lat=51 42.0848 N, lon=008 31.0424 W, hms=002337, dmy=221018
t1= 15.0085, c1= 4.28475, s= 34.9285, t2= 16.6318, lat=51 42.0849 N, lon=008 31.0423 W, hms=002346, dmy=221018
t1= 15.0078, c1= 4.28473, s= 34.9289, t2= 16.6319, lat=51 42.0851 N, lon=008 31.0422 W, hms=002355, dmy=221018
t1= 15.0084, c1= 4.28473, s= 34.9284, t2= 16.6313, lat=51 42.0854 N, lon=008 31.0420 W, hms=002407, dmy=221018
t1= 15.0078, c1= 4.28469, s= 34.9286, t2= 16.6311, lat=51 42.0856 N, lon=008 31.0419 W, hms=002416, dmy=221018
t1= 15.0074, c1= 4.28469, s= 34.9289, t2= 16.6306, lat=51 42.0857 N, lon=008 31.0418 W, hms=002425, dmy=221018
t1= 15.0072, c1= 4.28475, s= 34.9297, t2= 16.6306, lat=51 42.0859 N, lon=008 31.0418 W, hms=002434, dmy=221018
t1= 15.0073, c1= 4.28462, s= 34.9284, t2= 16.6302, lat=51 42.0860 N, lon=008 31.0417 W, hms=002443, dmy=221018
t1= 15.0069, c1= 4.28460, s= 34.9285, t2= 16.6297, lat=51 42.0861 N, lon=008 31.0416 W, hms=002452, dmy=221018
t1= 15.0063, c1= 4.28460, s= 34.9291, t2= 16.6292, lat=51 42.0862 N, lon=008 31.0416 W, hms=002501, dmy=221018
t1= 15.0064, c1= 4.28458, s= 34.9288, t2= 16.6293, lat=51 42.0863 N, lon=008 31.0415 W, hms=002510, dmy=221018
t1= 15.0062, c1= 4.28456, s= 34.9288, t2= 16.6286, lat=51 42.0863 N, lon=008 31.0414 W, hms=002519, dmy=221018
t1= 15.0060, c1= 4.28452, s= 34.9286, t2= 16.6286, lat=51 42.0863 N, lon=008 31.0414 W, hms=002528, dmy=221018
t1= 15.0062, c1= 4.28452, s= 34.9284, t2= 16.6281, lat=51 42.0863 N, lon=008 31.0413 W, hms=002537, dmy=221018
