t1= 14.1849, c1= 4.27535, s= 35.5911, t2= 14.1407, lat=49 50.5033 N, lon=018 08.6610 W, hms=000008, dmy=181018
t1= 14.1895, c1= 4.27624, s= 35.5951, t2= 14.1425, lat=49 50.5092 N, lon=018 08.6259 W, hms=000018, dmy=181018
t1= 14.1971, c1= 4.27720, s= 35.5971, t2= 14.1465, lat=49 50.5153 N, lon=018 08.5909 W, hms=000028, dmy=181018
t1= 14.2040, c1= 4.27789, s= 35.5972, t2= 14.1493, lat=49 50.5213 N, lon=018 08.5561 W, hms=000038, dmy=181018
t1= 14.2053, c1= 4.27809, s= 35.5978, t2= 14.1478, lat=49 50.5272 N, lon=018 08.5211 W, hms=000048, dmy=181018
t1= 14.2061, c1= 4.27824, s= 35.5984, t2= 14.1436, lat=49 50.5331 N, lon=018 08.4860 W, hms=000058, dmy=181018
t1= 14.2053, c1= 4.27813, s= 35.5981, t2= 14.1425, lat=49 50.5388 N, lon=018 08.4509 W, hms=000108, dmy=181018
t1= 14.2034, c1= 4.27791, s= 35.5979, t2= 14.1415, lat=49 50.5446 N, lon=018 08.4158 W, hms=000118, dmy=181018
t1= 14.2018, c1= 4.27768, s= 35.5972, t2= 14.1279, lat=49 50.5503 N, lon=018 08.3804 W, hms=000128, dmy=181018
t1= 14.1997, c1= 4.27742, s= 35.5967, t2= 14.1151, lat=49 50.5560 N, lon=018 08.3452 W, hms=000138, dmy=181018
t1= 14.1895, c1= 4.27604, s= 35.5933, t2= 14.1070, lat=49 50.5617 N, lon=018 08.3103 W, hms=000148, dmy=181018
t1= 14.1774, c1= 4.27449, s= 35.5901, t2= 14.0974, lat=49 50.5673 N, lon=018 08.2753 W, hms=000158, dmy=181018
t1= 14.1687, c1= 4.27334, s= 35.5873, t2= 14.0851, lat=49 50.5729 N, lon=018 08.2402 W, hms=000208, dmy=181018
t1= 14.1609, c1= 4.27234, s= 35.5852, t2= 14.0833, lat=49 50.5784 N, lon=018 08.2051 W, hms=000218, dmy=181018
t1= 14.1509, c1= 4.27117, s= 35.5835, t2= 14.0931, lat=49 50.5843 N, lon=018 08.1694 W, hms=000228, dmy=181018
t1= 14.1517, c1= 4.27121, s= 35.5832, t2= 14.0887, lat=49 50.5902 N, lon=018 08.1334 W, hms=000238, dmy=181018
t1= 14.1533, c1= 4.27125, s= 35.5822, t2= 14.0856, lat=49 50.5959 N, lon=018 08.0976 W, hms=000248, dmy=181018
t1= 14.1497, c1= 4.27084, s= 35.5817, t2= 14.0837, lat=49 50.6015 N, lon=018 08.0618 W, hms=000258, dmy=181018
t1= 14.1482, c1= 4.27054, s= 35.5803, t2= 14.0813, lat=49 50.6072 N, lon=018 08.0260 W, hms=000308, dmy=181018
t1= 14.1441, c1= 4.27011, s= 35.5800, t2= 14.0802, lat=49 50.6129 N, lon=018 07.9908 W, hms=000318, dmy=181018
t1= 14.1434, c1= 4.26990, s= 35.5787, t2= 14.0696, lat=49 50.6479 N, lon=018 07.7704 W, hms=000421, dmy=181018
t1= 14.1400, c1= 4.26949, s= 35.5780, t2= 14.0572, lat=49 50.6517 N, lon=018 07.7459 W, hms=000428, dmy=181018
t1= 14.1318, c1= 4.26853, s= 35.5766, t2= 14.0530, lat=49 50.6555 N, lon=018 07.7214 W, hms=000435, dmy=181018
t1= 14.1222, c1= 4.26750, s= 35.5759, t2= 14.0504, lat=49 50.6594 N, lon=018 07.6970 W, hms=000442, dmy=181018
t1= 14.1168, c1= 4.26685, s= 35.5749, t2= 14.0472, lat=49 50.6633 N, lon=018 07.6725 W, hms=000449, dmy=181018
t1= 14.1131, c1= 4.26642, s= 35.5743, t2= 14.0453, lat=49 50.6671 N, lon=018 07.6481 W, hms=000456, dmy=181018
t1= 14.1102, c1= 4.26610, s= 35.5740, t2= 14.0560, lat=49 50.6711 N, lon=018 07.6236 W, hms=000503, dmy=181018
t1= 14.1084, c1= 4.26593, s= 35.5740, t2= 14.0493, lat=49 50.6748 N, lon=018 07.5992 W, hms=000510, dmy=181018
t1= 14.1135, c1= 4.26645, s= 35.5741, t2= 14.0487, lat=49 50.6784 N, lon=018 07.5745 W, hms=000517, dmy=181018
t1= 14.1127, c1= 4.26636, s= 35.5741, t2= 14.0459, lat=49 50.6821 N, lon=018 07.5501 W, hms=000524, dmy=181018
t1= 14.1110, c1= 4.26617, s= 35.5738, t2= 14.0443, lat=49 50.6864 N, lon=018 07.5220 W, hms=000532, dmy=181018
t1= 14.1088, c1= 4.26595, s= 35.5739, t2= 14.0420, lat=49 50.6902 N, lon=018 07.4978 W, hms=000539, dmy=181018
t1= 14.1069, c1= 4.26580, s= 35.5742, t2= 14.0423, lat=49 50.6939 N, lon=018 07.4732 W, hms=000546, dmy=181018
t1= 14.1057, c1= 4.26569, s= 35.5744, t2= 14.0349, lat=49 50.6976 N, lon=018 07.4490 W, hms=000553, dmy=181018
t1= 14.1021, c1= 4.26546, s= 35.5755, t2= 14.0335, lat=49 50.7015 N, lon=018 07.4244 W, hms=000600, dmy=181018
t1= 14.0973, c1= 4.26514, s= 35.5769, t2= 14.0356, lat=49 50.7052 N, lon=018 07.4004 W, hms=000607, dmy=181018
t1= 14.0966, c1= 4.26516, s= 35.5777, t2= 14.0307, lat=49 50.7090 N, lon=018 07.3755 W, hms=000614, dmy=181018
t1= 14.0974, c1= 4.26529, s= 35.5782, t2= 14.0269, lat=49 50.7128 N, lon=018 07.3513 W, hms=000621, dmy=181018
t1= 14.0943, c1= 4.26510, s= 35.5793, t2= 14.0340, lat=49 50.7168 N, lon=018 07.3265 W, hms=000628, dmy=181018
t1= 14.0912, c1= 4.26484, s= 35.5798, t2= 14.0353, lat=49 50.7221 N, lon=018 07.2916 W, hms=000638, dmy=181018
t1= 14.0958, c1= 4.26529, s= 35.5797, t2= 14.0336, lat=49 50.7273 N, lon=018 07.2567 W, hms=000648, dmy=181018
t1= 14.0956, c1= 4.26531, s= 35.5800, t2= 14.0326, lat=49 50.7326 N, lon=018 07.2218 W, hms=000658, dmy=181018
t1= 14.0952, c1= 4.26531, s= 35.5804, t2= 14.0305, lat=49 50.7382 N, lon=018 07.1868 W, hms=000708, dmy=181018
t1= 14.0937, c1= 4.26522, s= 35.5811, t2= 14.0308, lat=49 50.7439 N, lon=018 07.1514 W, hms=000718, dmy=181018
t1= 14.0935, c1= 4.26527, s= 35.5817, t2= 14.0303, lat=49 50.7495 N, lon=018 07.1160 W, hms=000728, dmy=181018
t1= 14.0928, c1= 4.26522, s= 35.5819, t2= 14.0219, lat=49 50.7549 N, lon=018 07.0806 W, hms=000738, dmy=181018
t1= 14.0904, c1= 4.26503, s= 35.5823, t2= 14.0183, lat=49 50.7603 N, lon=018 07.0448 W, hms=000748, dmy=181018
t1= 14.0849, c1= 4.26460, s= 35.5834, t2= 14.0165, lat=49 50.7656 N, lon=018 07.0086 W, hms=000758, dmy=181018
t1= 14.0813, c1= 4.26439, s= 35.5847, t2= 14.0126, lat=49 50.7709 N, lon=018 06.9727 W, hms=000808, dmy=181018
t1= 14.0800, c1= 4.26424, s= 35.5845, t2= 14.0137, lat=49 50.7763 N, lon=018 06.9369 W, hms=000818, dmy=181018
t1= 14.0766, c1= 4.26402, s= 35.5856, t2= 14.0233, lat=49 50.7815 N, lon=018 06.9011 W, hms=000828, dmy=181018
t1= 14.0764, c1= 4.26415, s= 35.5870, t2= 14.0227, lat=49 50.7866 N, lon=018 06.8658 W, hms=000838, dmy=181018
t1= 14.0836, c1= 4.26486, s= 35.5870, t2= 14.0220, lat=49 50.7918 N, lon=018 06.8305 W, hms=000848, dmy=181018
t1= 14.0840, c1= 4.26501, s= 35.5880, t2= 14.0202, lat=49 50.7970 N, lon=018 06.7949 W, hms=000858, dmy=181018
t1= 14.0846, c1= 4.26516, s= 35.5889, t2= 14.0229, lat=49 50.8025 N, lon=018 06.7593 W, hms=000908, dmy=181018
t1= 14.0832, c1= 4.26507, s= 35.5894, t2= 14.0220, lat=49 50.8076 N, lon=018 06.7238 W, hms=000918, dmy=181018
t1= 14.0828, c1= 4.26512, s= 35.5902, t2= 14.0194, lat=49 50.8130 N, lon=018 06.6883 W, hms=000928, dmy=181018
t1= 14.0835, c1= 4.26531, s= 35.5913, t2= 14.0157, lat=49 50.8185 N, lon=018 06.6531 W, hms=000938, dmy=181018
t1= 14.0820, c1= 4.26540, s= 35.5935, t2= 14.0135, lat=49 50.8242 N, lon=018 06.6179 W, hms=000948, dmy=181018
t1= 14.0783, c1= 4.26597, s= 35.6023, t2= 14.0128, lat=49 50.8300 N, lon=018 06.5827 W, hms=000958, dmy=181018
t1= 14.0764, c1= 4.26653, s= 35.6093, t2= 14.0044, lat=49 50.8358 N, lon=018 06.5476 W, hms=001008, dmy=181018
t1= 14.0754, c1= 4.26685, s= 35.6132, t2= 14.0010, lat=49 50.8415 N, lon=018 06.5125 W, hms=001018, dmy=181018
t1= 14.0699, c1= 4.26657, s= 35.6157, t2= 14.0076, lat=49 50.8473 N, lon=018 06.4777 W, hms=001028, dmy=181018
t1= 14.0637, c1= 4.26627, s= 35.6186, t2= 14.0092, lat=49 50.8530 N, lon=018 06.4435 W, hms=001038, dmy=181018
t1= 14.0674, c1= 4.26664, s= 35.6186, t2= 14.0065, lat=49 50.8587 N, lon=018 06.4091 W, hms=001048, dmy=181018
t1= 14.0700, c1= 4.26694, s= 35.6190, t2= 14.0033, lat=49 50.8644 N, lon=018 06.3747 W, hms=001058, dmy=181018
t1= 14.0699, c1= 4.26700, s= 35.6197, t2= 14.0018, lat=49 50.8704 N, lon=018 06.3401 W, hms=001108, dmy=181018
t1= 14.0672, c1= 4.26681, s= 35.6204, t2= 13.9986, lat=49 50.8765 N, lon=018 06.3052 W, hms=001118, dmy=181018
t1= 14.0658, c1= 4.26668, s= 35.6205, t2= 13.9940, lat=49 50.8825 N, lon=018 06.2706 W, hms=001128, dmy=181018
t1= 14.0627, c1= 4.26645, s= 35.6211, t2= 13.9899, lat=49 50.8885 N, lon=018 06.2359 W, hms=001138, dmy=181018
t1= 14.0594, c1= 4.26606, s= 35.6207, t2= 13.9827, lat=49 50.8947 N, lon=018 06.2011 W, hms=001148, dmy=181018
t1= 14.0538, c1= 4.26565, s= 35.6220, t2= 13.9863, lat=49 50.9008 N, lon=018 06.1664 W, hms=001158, dmy=181018
t1= 14.0492, c1= 4.26520, s= 35.6221, t2= 13.9820, lat=49 50.9066 N, lon=018 06.1318 W, hms=001208, dmy=181018
t1= 14.0479, c1= 4.26516, s= 35.6229, t2= 13.9819, lat=49 50.9126 N, lon=018 06.0972 W, hms=001218, dmy=181018
t1= 14.0465, c1= 4.26499, s= 35.6226, t2= 13.9883, lat=49 50.9187 N, lon=018 06.0624 W, hms=001228, dmy=181018
t1= 14.0453, c1= 4.26490, s= 35.6229, t2= 13.9878, lat=49 50.9246 N, lon=018 06.0278 W, hms=001238, dmy=181018
t1= 14.0492, c1= 4.26531, s= 35.6230, t2= 13.9919, lat=49 50.9309 N, lon=018 05.9932 W, hms=001248, dmy=181018
t1= 14.0518, c1= 4.26550, s= 35.6225, t2= 13.9884, lat=49 50.9372 N, lon=018 05.9583 W, hms=001258, dmy=181018
t1= 14.0519, c1= 4.26552, s= 35.6226, t2= 13.9867, lat=49 50.9435 N, lon=018 05.9228 W, hms=001308, dmy=181018
t1= 14.0504, c1= 4.26542, s= 35.6230, t2= 13.9820, lat=49 50.9495 N, lon=018 05.8878 W, hms=001318, dmy=181018
