t1= 14.3642, c1= 4.22233, s= 34.9350, t2= 15.6129, lat=51 42.0862 N, lon=008 31.0420 W, hms=000025, dmy=231018
t1= 14.3635, c1= 4.22233, s= 34.9356, t2= 15.6123, lat=51 42.0864 N, lon=008 31.0424 W, hms=000130, dmy=231018
t1= 14.3628, c1= 4.22232, s= 34.9361, t2= 15.6126, lat=51 42.0871 N, lon=008 31.0421 W, hms=000235, dmy=231018
t1= 14.3625, c1= 4.22229, s= 34.9362, t2= 15.6120, lat=51 42.0871 N, lon=008 31.0421 W, hms=000340, dmy=231018
t1= 14.3623, c1= 4.22228, s= 34.9362, t2= 15.6118, lat=51 42.0863 N, lon=008 31.0426 W, hms=000445, dmy=231018
t1= 14.3620, c1= 4.22227, s= 34.9364, t2= 15.6118, lat=51 42.0856 N, lon=008 31.0423 W, hms=000550, dmy=231018
t1= 14.3614, c1= 4.22225, s= 34.9367, t2= 15.6109, lat=51 42.0852 N, lon=008 31.0426 W, hms=000655, dmy=231018
t1= 14.3607, c1= 4.22219, s= 34.9368, t2= 15.6107, lat=51 42.0847 N, lon=008 31.0432 W, hms=000800, dmy=231018
t1= 14.3607, c1= 4.22223, s= 34.9371, t2= 15.6101, lat=51 42.0850 N, lon=008 31.0430 W, hms=000905, dmy=231018
t1= 14.3606, c1= 4.22221, s= 34.9371, t2= 15.6098, lat=51 42.0846 N, lon=008 31.0431 W, hms=001010, dmy=231018
t1= 14.3601, c1= 4.22219, s= 34.9374, t2= 15.6093, lat=51 42.0852 N, lon=008 31.0429 W, hms=001115, dmy=231018
t1= 14.3602, c1= 4.22221, s= 34.9374, t2= 15.6092, lat=51 42.0863 N, lon=008 31.0426 W, hms=001220, dmy=231018
t1= 14.3597, c1= 4.22219, s= 34.9378, t2= 15.6092, lat=51 42.0864 N, lon=008 31.0426 W, hms=001325, dmy=231018
t1= 14.3595, c1= 4.22216, s= 34.9377, t2= 15.6085, lat=51 42.0854 N, lon=008 31.0434 W, hms=001430, dmy=231018
t1= 14.3599, c1= 4.22214, s= 34.9371, t2= 15.6081, lat=51 42.0853 N, lon=008 31.0435 W, hms=001535, dmy=231018
t1= 14.3596, c1= 4.22213, s= 34.9372, t2= 15.6081, lat=51 42.0858 N, lon=008 31.0433 W, hms=001709, dmy=231018
t1= 14.3594, c1= 4.22212, s= 34.9373, t2= 15.6077, lat=51 42.0836 N, lon=008 31.0448 W, hms=001813, dmy=231018
t1= 14.3593, c1= 4.22211, s= 34.9373, t2= 15.6070, lat=51 42.0840 N, lon=008 31.0440 W, hms=001917, dmy=231018
t1= 14.3593, c1= 4.22211, s= 34.9373, t2= 15.6070, lat=51 42.0857 N, lon=008 31.0414 W, hms=002022, dmy=231018
t1= 14.3591, c1= 4.22210, s= 34.9375, t2= 15.6063, lat=51 42.0860 N, lon=008 31.0411 W, hms=002126, dmy=231018
t1= 14.3438, c1= 4.22031, s= 34.9346, t2= 15.5624, lat=51 42.0860 N, lon=008 31.0424 W, hms=002327, dmy=231018
t1= 14.3437, c1= 4.22031, s= 34.9348, t2= 15.5618, lat=51 42.0861 N, lon=008 31.0423 W, hms=002336, dmy=231018
t1= 14.3437, c1= 4.22026, s= 34.9343, t2= 15.5612, lat=51 42.0861 N, lon=008 31.0423 W, hms=002345, dmy=231018
t1= 14.3433, c1= 4.22026, s= 34.9347, t2= 15.5608, lat=51 42.0861 N, lon=008 31.0422 W, hms=002354, dmy=231018
t1= 14.3430, c1= 4.22024, s= 34.9348, t2= 15.5608, lat=51 42.0861 N, lon=008 31.0421 W, hms=002403, dmy=231018
t1= 14.3431, c1= 4.22022, s= 34.9344, t2= 15.5603, lat=51 42.0861 N, lon=008 31.0420 W, hms=002412, dmy=231018
t1= 14.3430, c1= 4.22022, s= 34.9345, t2= 15.5598, lat=51 42.0861 N, lon=008 31.0420 W, hms=002421, dmy=231018
t1= 14.3424, c1= 4.22026, s= 34.9355, t2= 15.5595, lat=51 42.0861 N, lon=008 31.0419 W, hms=002430, dmy=231018
t1= 14.3423, c1= 4.22015, s= 34.9346, t2= 15.5588, lat=51 42.0861 N, lon=008 31.0418 W, hms=002439, dmy=231018
t1= 14.3426, c1= 4.22015, s= 34.9343, t2= 15.5587, lat=51 42.0861 N, lon=008 31.0418 W, hms=002448, dmy=231018
t1= 14.3420, c1= 4.22013, s= 34.9346, t2= 15.5581, lat=51 42.0861 N, lon=008 31.0419 W, hms=002457, dmy=231018
t1= 14.3422, c1= 4.22011, s= 34.9343, t2= 15.5578, lat=51 42.0860 N, lon=008 31.0420 W, hms=002506, dmy=231018
t1= 14.3417, c1= 4.22009, s= 34.9345, t2= 15.5573, lat=51 42.0860 N, lon=008 31.0420 W, hms=002515, dmy=231018
t1= 14.3417, c1= 4.22009, s= 34.9346, t2= 15.5571, lat=51 42.0860 N, lon=008 31.0420 W, hms=002524, dmy=231018
t1= 14.3417, c1= 4.22007, s= 34.9343, t2= 15.5565, lat=51 42.0859 N, lon=008 31.0421 W, hms=002533, dmy=231018
t1= 14.3415, c1= 4.22007, s= 34.9345, t2= 15.5566, lat=51 42.0858 N, lon=008 31.0421 W, hms=002542, dmy=231018
t1= 14.3413, c1= 4.22005, s= 34.9345, t2= 15.5561, lat=51 42.0858 N, lon=008 31.0422 W, hms=002551, dmy=231018
t1= 14.3411, c1= 4.22005, s= 34.9347, t2= 15.5558, lat=51 42.0858 N, lon=008 31.0424 W, hms=002600, dmy=231018
t1= 14.3409, c1= 4.22003, s= 34.9347, t2= 15.5553, lat=51 42.0858 N, lon=008 31.0426 W, hms=002609, dmy=231018
t1= 14.3408, c1= 4.21998, s= 34.9344, t2= 15.5548, lat=51 42.0858 N, lon=008 31.0427 W, hms=002618, dmy=231018
t1= 14.3394, c1= 4.21988, s= 34.9347, t2= 15.5521, lat=51 42.0858 N, lon=008 31.0428 W, hms=002635, dmy=231018
t1= 14.3393, c1= 4.21986, s= 34.9346, t2= 15.5516, lat=51 42.0858 N, lon=008 31.0428 W, hms=002645, dmy=231018
t1= 14.3390, c1= 4.21984, s= 34.9347, t2= 15.5512, lat=51 42.0858 N, lon=008 31.0427 W, hms=002654, dmy=231018
t1= 14.3391, c1= 4.21983, s= 34.9345, t2= 15.5508, lat=51 42.0856 N, lon=008 31.0427 W, hms=002704, dmy=231018
t1= 14.3391, c1= 4.21983, s= 34.9345, t2= 15.5506, lat=51 42.0856 N, lon=008 31.0426 W, hms=002715, dmy=231018
t1= 14.3388, c1= 4.21980, s= 34.9344, t2= 15.5499, lat=51 42.0856 N, lon=008 31.0426 W, hms=002724, dmy=231018
t1= 14.3382, c1= 4.21977, s= 34.9348, t2= 15.5497, lat=51 42.0856 N, lon=008 31.0425 W, hms=002735, dmy=231018
t1= 14.3383, c1= 4.21977, s= 34.9347, t2= 15.5491, lat=51 42.0856 N, lon=008 31.0424 W, hms=002744, dmy=231018
t1= 14.3382, c1= 4.21975, s= 34.9345, t2= 15.5491, lat=51 42.0857 N, lon=008 31.0423 W, hms=002754, dmy=231018
t1= 14.3383, c1= 4.21973, s= 34.9343, t2= 15.5486, lat=51 42.0859 N, lon=008 31.0420 W, hms=002806, dmy=231018
t1= 14.3376, c1= 4.21973, s= 34.9349, t2= 15.5483, lat=51 42.0860 N, lon=008 31.0419 W, hms=002815, dmy=231018
t1= 14.3378, c1= 4.21971, s= 34.9346, t2= 15.5483, lat=51 42.0862 N, lon=008 31.0418 W, hms=002825, dmy=231018
t1= 14.3376, c1= 4.21969, s= 34.9345, t2= 15.5474, lat=51 42.0864 N, lon=008 31.0418 W, hms=002834, dmy=231018
t1= 14.3372, c1= 4.21969, s= 34.9349, t2= 15.5475, lat=51 42.0866 N, lon=008 31.0418 W, hms=002844, dmy=231018
t1= 14.3372, c1= 4.21966, s= 34.9347, t2= 15.5471, lat=51 42.0868 N, lon=008 31.0419 W, hms=002855, dmy=231018
t1= 14.3367, c1= 4.21960, s= 34.9345, t2= 15.5465, lat=51 42.0869 N, lon=008 31.0419 W, hms=002904, dmy=231018
t1= 14.3372, c1= 4.21964, s= 34.9345, t2= 15.5467, lat=51 42.0868 N, lon=008 31.0420 W, hms=002915, dmy=231018
t1= 14.3365, c1= 4.21960, s= 34.9348, t2= 15.5460, lat=51 42.0867 N, lon=008 31.0420 W, hms=002925, dmy=231018
t1= 14.3367, c1= 4.21958, s= 34.9344, t2= 15.5454, lat=51 42.0867 N, lon=008 31.0421 W, hms=002934, dmy=231018
t1= 14.3361, c1= 4.21956, s= 34.9348, t2= 15.5454, lat=51 42.0866 N, lon=008 31.0422 W, hms=002944, dmy=231018
t1= 14.3362, c1= 4.21958, s= 34.9348, t2= 15.5448, lat=51 42.0865 N, lon=008 31.0423 W, hms=002954, dmy=231018
t1= 14.3361, c1= 4.21958, s= 34.9349, t2= 15.5445, lat=51 42.0864 N, lon=008 31.0424 W, hms=003004, dmy=231018
t1= 14.3358, c1= 4.21955, s= 34.9349, t2= 15.5445, lat=51 42.0864 N, lon=008 31.0424 W, hms=003014, dmy=231018
t1= 14.3355, c1= 4.21953, s= 34.9350, t2= 15.5440, lat=51 42.0863 N, lon=008 31.0425 W, hms=003025, dmy=231018
t1= 14.3357, c1= 4.21950, s= 34.9345, t2= 15.5436, lat=51 42.0862 N, lon=008 31.0424 W, hms=003037, dmy=231018
t1= 14.3353, c1= 4.21948, s= 34.9346, t2= 15.5441, lat=51 42.0863 N, lon=008 31.0423 W, hms=003046, dmy=231018
t1= 14.3350, c1= 4.21946, s= 34.9348, t2= 15.5434, lat=51 42.0863 N, lon=008 31.0422 W, hms=003055, dmy=231018
t1= 14.3348, c1= 4.21947, s= 34.9350, t2= 15.5430, lat=51 42.0862 N, lon=008 31.0421 W, hms=003104, dmy=231018
t1= 14.3347, c1= 4.21945, s= 34.9350, t2= 15.5425, lat=51 42.0862 N, lon=008 31.0421 W, hms=003114, dmy=231018
t1= 14.3344, c1= 4.21943, s= 34.9350, t2= 15.5422, lat=51 42.0861 N, lon=008 31.0420 W, hms=003124, dmy=231018
t1= 14.3345, c1= 4.21941, s= 34.9348, t2= 15.5419, lat=51 42.0859 N, lon=008 31.0420 W, hms=003134, dmy=231018
t1= 14.3341, c1= 4.21939, s= 34.9350, t2= 15.5416, lat=51 42.0858 N, lon=008 31.0418 W, hms=003145, dmy=231018
t1= 14.3345, c1= 4.21939, s= 34.9346, t2= 15.5413, lat=51 42.0858 N, lon=008 31.0416 W, hms=003154, dmy=231018
t1= 14.3338, c1= 4.21937, s= 34.9351, t2= 15.5410, lat=51 42.0859 N, lon=008 31.0415 W, hms=003204, dmy=231018
t1= 14.3336, c1= 4.21936, s= 34.9352, t2= 15.5407, lat=51 42.0859 N, lon=008 31.0415 W, hms=003215, dmy=231018
t1= 14.3335, c1= 4.21934, s= 34.9350, t2= 15.5403, lat=51 42.0860 N, lon=008 31.0415 W, hms=003224, dmy=231018
t1= 14.3334, c1= 4.21932, s= 34.9349, t2= 15.5401, lat=51 42.0860 N, lon=008 31.0415 W, hms=003234, dmy=231018
t1= 14.3334, c1= 4.21930, s= 34.9347, t2= 15.5394, lat=51 42.0861 N, lon=008 31.0415 W, hms=003245, dmy=231018
t1= 14.3329, c1= 4.21927, s= 34.9349, t2= 15.5392, lat=51 42.0861 N, lon=008 31.0416 W, hms=003254, dmy=231018
t1= 14.3328, c1= 4.21927, s= 34.9350, t2= 15.5391, lat=51 42.0862 N, lon=008 31.0417 W, hms=003304, dmy=231018
t1= 14.3328, c1= 4.21927, s= 34.9350, t2= 15.5388, lat=51 42.0863 N, lon=008 31.0417 W, hms=003314, dmy=231018
t1= 14.3327, c1= 4.21925, s= 34.9348, t2= 15.5383, lat=51 42.0865 N, lon=008 31.0418 W, hms=003325, dmy=231018
t1= 14.3323, c1= 4.21923, s= 34.9351, t2= 15.5380, lat=51 42.0868 N, lon=008 31.0418 W, hms=003335, dmy=231018
t1= 14.3322, c1= 4.21921, s= 34.9350, t2= 15.5377, lat=51 42.0870 N, lon=008 31.0419 W, hms=003344, dmy=231018
t1= 14.3317, c1= 4.21921, s= 34.9354, t2= 15.5377, lat=51 42.0871 N, lon=008 31.0419 W, hms=003355, dmy=231018
t1= 14.3317, c1= 4.21918, s= 34.9352, t2= 15.5370, lat=51 42.0873 N, lon=008 31.0419 W, hms=003405, dmy=231018
t1= 14.3317, c1= 4.21916, s= 34.9350, t2= 15.5370, lat=51 42.0873 N, lon=008 31.0419 W, hms=003414, dmy=231018
t1= 14.3312, c1= 4.21916, s= 34.9355, t2= 15.5366, lat=51 42.0873 N, lon=008 31.0419 W, hms=003424, dmy=231018
t1= 14.3312, c1= 4.21914, s= 34.9352, t2= 15.5362, lat=51 42.0871 N, lon=008 31.0418 W, hms=003435, dmy=231018
t1= 14.3307, c1= 4.21912, s= 34.9355, t2= 15.5361, lat=51 42.0868 N, lon=008 31.0416 W, hms=003444, dmy=231018
t1= 14.3308, c1= 4.21913, s= 34.9355, t2= 15.5356, lat=51 42.0866 N, lon=008 31.0414 W, hms=003455, dmy=231018
t1= 14.3308, c1= 4.21908, s= 34.9351, t2= 15.5351, lat=51 42.0865 N, lon=008 31.0414 W, hms=003504, dmy=231018
t1= 14.3302, c1= 4.21908, s= 34.9357, t2= 15.5350, lat=51 42.0864 N, lon=008 31.0414 W, hms=003514, dmy=231018
t1= 14.3305, c1= 4.21906, s= 34.9351, t2= 15.5342, lat=51 42.0863 N, lon=008 31.0414 W, hms=003524, dmy=231018
t1= 14.3303, c1= 4.21905, s= 34.9352, t2= 15.5338, lat=51 42.0863 N, lon=008 31.0415 W, hms=003534, dmy=231018
t1= 14.3305, c1= 4.21903, s= 34.9349, t2= 15.5338, lat=51 42.0862 N, lon=008 31.0417 W, hms=003544, dmy=231018
t1= 14.3302, c1= 4.21903, s= 34.9351, t2= 15.5335, lat=51 42.0862 N, lon=008 31.0418 W, hms=003554, dmy=231018
t1= 14.3299, c1= 4.21901, s= 34.9352, t2= 15.5334, lat=51 42.0863 N, lon=008 31.0418 W, hms=003604, dmy=231018
t1= 14.3300, c1= 4.21899, s= 34.9349, t2= 15.5329, lat=51 42.0864 N, lon=008 31.0418 W, hms=003614, dmy=231018
t1= 14.3297, c1= 4.21898, s= 34.9351, t2= 15.5324, lat=51 42.0864 N, lon=008 31.0417 W, hms=003624, dmy=231018
t1= 14.3290, c1= 4.21895, s= 34.9355, t2= 15.5321, lat=51 42.0864 N, lon=008 31.0417 W, hms=003634, dmy=231018
t1= 14.3292, c1= 4.21898, s= 34.9355, t2= 15.5323, lat=51 42.0865 N, lon=008 31.0418 W, hms=003646, dmy=231018
t1= 14.3291, c1= 4.21893, s= 34.9353, t2= 15.5314, lat=51 42.0865 N, lon=008 31.0418 W, hms=003655, dmy=231018
t1= 14.3287, c1= 4.21893, s= 34.9356, t2= 15.5312, lat=51 42.0865 N, lon=008 31.0419 W, hms=003704, dmy=231018
t1= 14.3287, c1= 4.21891, s= 34.9353, t2= 15.5308, lat=51 42.0865 N, lon=008 31.0420 W, hms=003715, dmy=231018
t1= 14.3285, c1= 4.21886, s= 34.9351, t2= 15.5306, lat=51 42.0865 N, lon=008 31.0421 W, hms=003724, dmy=231018
t1= 14.3285, c1= 4.21886, s= 34.9352, t2= 15.5303, lat=51 42.0865 N, lon=008 31.0421 W, hms=003734, dmy=231018
t1= 14.3280, c1= 4.21886, s= 34.9356, t2= 15.5298, lat=51 42.0865 N, lon=008 31.0422 W, hms=003744, dmy=231018
t1= 14.3279, c1= 4.21884, s= 34.9355, t2= 15.5297, lat=51 42.0865 N, lon=008 31.0422 W, hms=003754, dmy=231018
t1= 14.3279, c1= 4.21883, s= 34.9353, t2= 15.5296, lat=51 42.0864 N, lon=008 31.0423 W, hms=003804, dmy=231018
t1= 14.3280, c1= 4.21883, s= 34.9353, t2= 15.5291, lat=51 42.0864 N, lon=008 31.0424 W, hms=003814, dmy=231018
t1= 14.3273, c1= 4.21880, s= 34.9357, t2= 15.5291, lat=51 42.0863 N, lon=008 31.0425 W, hms=003824, dmy=231018
t1= 14.3275, c1= 4.21878, s= 34.9353, t2= 15.5284, lat=51 42.0863 N, lon=008 31.0426 W, hms=003834, dmy=231018
t1= 14.3271, c1= 4.21878, s= 34.9356, t2= 15.5283, lat=51 42.0863 N, lon=008 31.0427 W, hms=003844, dmy=231018
t1= 14.3271, c1= 4.21876, s= 34.9354, t2= 15.5275, lat=51 42.0865 N, lon=008 31.0428 W, hms=003856, dmy=231018
t1= 14.3268, c1= 4.21874, s= 34.9355, t2= 15.5272, lat=51 42.0866 N, lon=008 31.0429 W, hms=003905, dmy=231018
t1= 14.3268, c1= 4.21874, s= 34.9356, t2= 15.5269, lat=51 42.0866 N, lon=008 31.0429 W, hms=003914, dmy=231018
t1= 14.3262, c1= 4.21872, s= 34.9359, t2= 15.5265, lat=51 42.0867 N, lon=008 31.0429 W, hms=003924, dmy=231018
t1= 14.3264, c1= 4.21872, s= 34.9357, t2= 15.5265, lat=51 42.0867 N, lon=008 31.0428 W, hms=003934, dmy=231018
t1= 14.3261, c1= 4.21867, s= 34.9356, t2= 15.5261, lat=51 42.0868 N, lon=008 31.0427 W, hms=003944, dmy=231018
t1= 14.3261, c1= 4.21867, s= 34.9355, t2= 15.5261, lat=51 42.0868 N, lon=008 31.0427 W, hms=003954, dmy=231018
t1= 14.3255, c1= 4.21868, s= 34.9361, t2= 15.5257, lat=51 42.0869 N, lon=008 31.0426 W, hms=004006, dmy=231018
t1= 14.3254, c1= 4.21863, s= 34.9358, t2= 15.5255, lat=51 42.0869 N, lon=008 31.0425 W, hms=004015, dmy=231018
t1= 14.3251, c1= 4.21861, s= 34.9359, t2= 15.5252, lat=51 42.0870 N, lon=008 31.0424 W, hms=004024, dmy=231018
t1= 14.3252, c1= 4.21868, s= 34.9364, t2= 15.5248, lat=51 42.0870 N, lon=008 31.0424 W, hms=004034, dmy=231018
t1= 14.3253, c1= 4.21859, s= 34.9355, t2= 15.5243, lat=51 42.0871 N, lon=008 31.0423 W, hms=004044, dmy=231018
t1= 14.3245, c1= 4.21859, s= 34.9362, t2= 15.5236, lat=51 42.0870 N, lon=008 31.0424 W, hms=004054, dmy=231018
t1= 14.3249, c1= 4.21857, s= 34.9357, t2= 15.5234, lat=51 42.0870 N, lon=008 31.0425 W, hms=004104, dmy=231018
t1= 14.3246, c1= 4.21857, s= 34.9359, t2= 15.5232, lat=51 42.0869 N, lon=008 31.0425 W, hms=004114, dmy=231018
t1= 14.3244, c1= 4.21853, s= 34.9357, t2= 15.5229, lat=51 42.0869 N, lon=008 31.0425 W, hms=004124, dmy=231018
t1= 14.3241, c1= 4.21853, s= 34.9360, t2= 15.5229, lat=51 42.0867 N, lon=008 31.0424 W, hms=004134, dmy=231018
t1= 14.3239, c1= 4.21853, s= 34.9362, t2= 15.5220, lat=51 42.0866 N, lon=008 31.0423 W, hms=004144, dmy=231018
t1= 14.3237, c1= 4.21848, s= 34.9360, t2= 15.5218, lat=51 42.0866 N, lon=008 31.0423 W, hms=004154, dmy=231018
t1= 14.3238, c1= 4.21848, s= 34.9359, t2= 15.5219, lat=51 42.0866 N, lon=008 31.0424 W, hms=004204, dmy=231018
t1= 14.3238, c1= 4.21846, s= 34.9357, t2= 15.5216, lat=51 42.0867 N, lon=008 31.0426 W, hms=004214, dmy=231018
t1= 14.3238, c1= 4.21846, s= 34.9357, t2= 15.5212, lat=51 42.0868 N, lon=008 31.0428 W, hms=004224, dmy=231018
t1= 14.3229, c1= 4.21840, s= 34.9358, t2= 15.5208, lat=51 42.0870 N, lon=008 31.0430 W, hms=004234, dmy=231018
t1= 14.3229, c1= 4.21842, s= 34.9360, t2= 15.5204, lat=51 42.0872 N, lon=008 31.0432 W, hms=004244, dmy=231018
t1= 14.3226, c1= 4.21840, s= 34.9362, t2= 15.5204, lat=51 42.0873 N, lon=008 31.0433 W, hms=004254, dmy=231018
t1= 14.3228, c1= 4.21838, s= 34.9358, t2= 15.5195, lat=51 42.0874 N, lon=008 31.0433 W, hms=004304, dmy=231018
t1= 14.3227, c1= 4.21838, s= 34.9359, t2= 15.5195, lat=51 42.0875 N, lon=008 31.0432 W, hms=004314, dmy=231018
t1= 14.3224, c1= 4.21835, s= 34.9359, t2= 15.5192, lat=51 42.0875 N, lon=008 31.0430 W, hms=004324, dmy=231018
t1= 14.3222, c1= 4.21835, s= 34.9361, t2= 15.5190, lat=51 42.0876 N, lon=008 31.0427 W, hms=004334, dmy=231018
t1= 14.3223, c1= 4.21833, s= 34.9358, t2= 15.5188, lat=51 42.0875 N, lon=008 31.0426 W, hms=004344, dmy=231018
t1= 14.3219, c1= 4.21833, s= 34.9362, t2= 15.5187, lat=51 42.0875 N, lon=008 31.0424 W, hms=004354, dmy=231018
t1= 14.3220, c1= 4.21832, s= 34.9359, t2= 15.5182, lat=51 42.0875 N, lon=008 31.0423 W, hms=004404, dmy=231018
t1= 14.3215, c1= 4.21829, s= 34.9362, t2= 15.5179, lat=51 42.0874 N, lon=008 31.0422 W, hms=004414, dmy=231018
t1= 14.3217, c1= 4.21827, s= 34.9358, t2= 15.5179, lat=51 42.0873 N, lon=008 31.0423 W, hms=004424, dmy=231018
t1= 14.3215, c1= 4.21827, s= 34.9360, t2= 15.5175, lat=51 42.0873 N, lon=008 31.0423 W, hms=004434, dmy=231018
t1= 14.3212, c1= 4.21823, s= 34.9359, t2= 15.5170, lat=51 42.0873 N, lon=008 31.0422 W, hms=004444, dmy=231018
t1= 14.3207, c1= 4.21823, s= 34.9363, t2= 15.5164, lat=51 42.0875 N, lon=008 31.0421 W, hms=004454, dmy=231018
t1= 14.3211, c1= 4.21821, s= 34.9358, t2= 15.5163, lat=51 42.0876 N, lon=008 31.0420 W, hms=004504, dmy=231018
t1= 14.3205, c1= 4.21821, s= 34.9363, t2= 15.5162, lat=51 42.0875 N, lon=008 31.0420 W, hms=004514, dmy=231018
t1= 14.3202, c1= 4.21819, s= 34.9364, t2= 15.5159, lat=51 42.0874 N, lon=008 31.0420 W, hms=004524, dmy=231018
t1= 14.3205, c1= 4.21819, s= 34.9361, t2= 15.5155, lat=51 42.0873 N, lon=008 31.0421 W, hms=004534, dmy=231018
t1= 14.3198, c1= 4.21817, s= 34.9365, t2= 15.5150, lat=51 42.0872 N, lon=008 31.0421 W, hms=004544, dmy=231018
t1= 14.3200, c1= 4.21815, s= 34.9362, t2= 15.5150, lat=51 42.0871 N, lon=008 31.0422 W, hms=004554, dmy=231018
