t1= 15.0353, c1= 4.28454, s= 34.9025, t2= 16.7672, lat=51 42.0857 N, lon=008 31.0416 W, hms=000023, dmy=211018
t1= 15.0353, c1= 4.28454, s= 34.9025, t2= 16.7671, lat=51 42.0852 N, lon=008 31.0411 W, hms=000127, dmy=211018
t1= 15.0354, c1= 4.28456, s= 34.9027, t2= 16.7669, lat=51 42.0848 N, lon=008 31.0420 W, hms=000230, dmy=211018
t1= 15.0352, c1= 4.28449, s= 34.9022, t2= 16.7669, lat=51 42.0856 N, lon=008 31.0422 W, hms=000333, dmy=211018
t1= 15.0356, c1= 4.28452, s= 34.9021, t2= 16.7668, lat=51 42.0855 N, lon=008 31.0423 W, hms=000437, dmy=211018
t1= 15.0351, c1= 4.28454, s= 34.9028, t2= 16.7671, lat=51 42.0852 N, lon=008 31.0417 W, hms=000541, dmy=211018
t1= 15.0351, c1= 4.28452, s= 34.9026, t2= 16.7670, lat=51 42.0858 N, lon=008 31.0416 W, hms=000645, dmy=211018
t1= 15.0358, c1= 4.28452, s= 34.9019, t2= 16.7671, lat=51 42.0857 N, lon=008 31.0415 W, hms=000749, dmy=211018
t1= 15.0355, c1= 4.28454, s= 34.9024, t2= 16.7672, lat=51 42.0857 N, lon=008 31.0417 W, hms=000921, dmy=211018
t1= 15.0351, c1= 4.28452, s= 34.9025, t2= 16.7671, lat=51 42.0861 N, lon=008 31.0415 W, hms=001025, dmy=211018
t1= 15.0351, c1= 4.28452, s= 34.9026, t2= 16.7673, lat=51 42.0858 N, lon=008 31.0418 W, hms=001129, dmy=211018
t1= 15.0354, c1= 4.28452, s= 34.9022, t2= 16.7675, lat=51 42.0857 N, lon=008 31.0416 W, hms=001233, dmy=211018
t1= 15.0345, c1= 4.28449, s= 34.9029, t2= 16.7668, lat=51 42.0864 N, lon=008 31.0410 W, hms=001337, dmy=211018
t1= 15.0352, c1= 4.28452, s= 34.9025, t2= 16.7670, lat=51 42.0859 N, lon=008 31.0412 W, hms=001441, dmy=211018
t1= 15.0352, c1= 4.28452, s= 34.9024, t2= 16.7668, lat=51 42.0861 N, lon=008 31.0406 W, hms=001544, dmy=211018
t1= 15.0347, c1= 4.28452, s= 34.9029, t2= 16.7669, lat=51 42.0855 N, lon=008 31.0413 W, hms=001717, dmy=211018
t1= 15.0351, c1= 4.28452, s= 34.9025, t2= 16.7672, lat=51 42.0852 N, lon=008 31.0414 W, hms=001821, dmy=211018
