t1= 16.7135, c1= 4.24646, s= 33.1202, t2= 16.6135, lat=43 47.8414 N, lon=058 35.7050 W, hms=000051, dmy=091018
t1= 16.7046, c1= 4.24489, s= 33.1138, t2= 16.6273, lat=43 47.8442 N, lon=058 35.6918 W, hms=000056, dmy=091018
t1= 16.6928, c1= 4.24303, s= 33.1074, t2= 16.6209, lat=43 47.8470 N, lon=058 35.6787 W, hms=000101, dmy=091018
t1= 16.6979, c1= 4.24372, s= 33.1092, t2= 16.6198, lat=43 47.8497 N, lon=058 35.6655 W, hms=000106, dmy=091018
t1= 16.6971, c1= 4.24318, s= 33.1052, t2= 16.6162, lat=43 47.8524 N, lon=058 35.6523 W, hms=000111, dmy=091018
t1= 16.6944, c1= 4.24273, s= 33.1035, t2= 16.6088, lat=43 47.8552 N, lon=058 35.6391 W, hms=000116, dmy=091018
t1= 16.6898, c1= 4.24171, s= 33.0985, t2= 16.6016, lat=43 47.8580 N, lon=058 35.6259 W, hms=000121, dmy=091018
t1= 16.6834, c1= 4.24069, s= 33.0948, t2= 16.5962, lat=43 47.8607 N, lon=058 35.6126 W, hms=000126, dmy=091018
t1= 16.6780, c1= 4.23975, s= 33.0911, t2= 16.5696, lat=43 47.8635 N, lon=058 35.5992 W, hms=000131, dmy=091018
t1= 16.6724, c1= 4.23844, s= 33.0842, t2= 16.5554, lat=43 47.8663 N, lon=058 35.5859 W, hms=000136, dmy=091018
t1= 16.6539, c1= 4.23526, s= 33.0719, t2= 16.5464, lat=43 47.8704 N, lon=058 35.5672 W, hms=000143, dmy=091018
t1= 16.6367, c1= 4.23263, s= 33.0631, t2= 16.5359, lat=43 47.8762 N, lon=058 35.5405 W, hms=000153, dmy=091018
t1= 16.6269, c1= 4.23098, s= 33.0568, t2= 16.5268, lat=43 47.8818 N, lon=058 35.5138 W, hms=000203, dmy=091018
t1= 16.6184, c1= 4.22956, s= 33.0513, t2= 16.5223, lat=43 47.8874 N, lon=058 35.4870 W, hms=000213, dmy=091018
t1= 16.6090, c1= 4.22794, s= 33.0451, t2= 16.5412, lat=43 47.8928 N, lon=058 35.4600 W, hms=000223, dmy=091018
t1= 16.6019, c1= 4.22686, s= 33.0414, t2= 16.5264, lat=43 47.8983 N, lon=058 35.4331 W, hms=000233, dmy=091018
t1= 16.6088, c1= 4.22773, s= 33.0433, t2= 16.5216, lat=43 47.9039 N, lon=058 35.4062 W, hms=000243, dmy=091018
t1= 16.6050, c1= 4.22676, s= 33.0380, t2= 16.5211, lat=43 47.9095 N, lon=058 35.3791 W, hms=000253, dmy=091018
t1= 16.5998, c1= 4.22592, s= 33.0350, t2= 16.5204, lat=43 47.9148 N, lon=058 35.3522 W, hms=000303, dmy=091018
t1= 16.5974, c1= 4.22544, s= 33.0327, t2= 16.5158, lat=43 47.9199 N, lon=058 35.3252 W, hms=000313, dmy=091018
t1= 16.5958, c1= 4.22495, s= 33.0298, t2= 16.5117, lat=43 47.9521 N, lon=058 35.1671 W, hms=000411, dmy=091018
t1= 16.5931, c1= 4.22440, s= 33.0272, t2= 16.4901, lat=43 47.9551 N, lon=058 35.1532 W, hms=000416, dmy=091018
