t1= 15.5968, c1= 4.08795, s= 32.6475, t2= 15.5345, lat=42 51.2656 N, lon=067 50.9625 W, hms=170334, dmy=061018
t1= 15.6034, c1= 4.08860, s= 32.6478, t2= 15.5296, lat=42 51.2673 N, lon=067 50.9348 W, hms=170344, dmy=061018
t1= 15.6031, c1= 4.08851, s= 32.6473, t2= 15.5316, lat=42 51.2682 N, lon=067 50.9072 W, hms=170354, dmy=061018
t1= 15.5989, c1= 4.08814, s= 32.6475, t2= 15.5266, lat=42 51.2695 N, lon=067 50.8777 W, hms=170404, dmy=061018
t1= 15.5989, c1= 4.08810, s= 32.6470, t2= 15.5307, lat=42 51.2700 N, lon=067 50.8483 W, hms=170414, dmy=061018
t1= 15.5964, c1= 4.08787, s= 32.6472, t2= 15.5301, lat=42 51.2712 N, lon=067 50.8208 W, hms=170424, dmy=061018
t1= 15.5963, c1= 4.08793, s= 32.6478, t2= 15.5331, lat=42 51.2732 N, lon=067 50.7929 W, hms=170434, dmy=061018
t1= 15.5973, c1= 4.08820, s= 32.6493, t2= 15.5323, lat=42 51.2746 N, lon=067 50.7642 W, hms=170444, dmy=061018
t1= 15.6001, c1= 4.08868, s= 32.6513, t2= 15.5317, lat=42 51.2759 N, lon=067 50.7357 W, hms=170454, dmy=061018
t1= 15.6004, c1= 4.08884, s= 32.6524, t2= 15.5306, lat=42 51.2774 N, lon=067 50.7088 W, hms=170504, dmy=061018
t1= 15.5994, c1= 4.08879, s= 32.6528, t2= 15.5332, lat=42 51.2784 N, lon=067 50.6807 W, hms=170514, dmy=061018
t1= 15.5990, c1= 4.08883, s= 32.6535, t2= 15.5354, lat=42 51.2796 N, lon=067 50.6515 W, hms=170525, dmy=061018
t1= 15.6009, c1= 4.08911, s= 32.6544, t2= 15.5426, lat=42 51.2806 N, lon=067 50.6230 W, hms=170534, dmy=061018
t1= 15.6056, c1= 4.08956, s= 32.6546, t2= 15.5407, lat=42 51.2809 N, lon=067 50.5958 W, hms=170544, dmy=061018
t1= 15.6111, c1= 4.09004, s= 32.6543, t2= 15.5375, lat=42 51.2823 N, lon=067 50.5671 W, hms=170554, dmy=061018
t1= 15.6083, c1= 4.08979, s= 32.6544, t2= 15.5381, lat=42 51.2834 N, lon=067 50.5387 W, hms=170604, dmy=061018
t1= 15.6078, c1= 4.08975, s= 32.6544, t2= 15.5390, lat=42 51.2842 N, lon=067 50.5108 W, hms=170614, dmy=061018
t1= 15.6065, c1= 4.08971, s= 32.6551, t2= 15.5382, lat=42 51.2857 N, lon=067 50.4816 W, hms=170624, dmy=061018
t1= 15.6076, c1= 4.08979, s= 32.6549, t2= 15.5323, lat=42 51.2871 N, lon=067 50.4528 W, hms=170634, dmy=061018
t1= 15.6075, c1= 4.08979, s= 32.6550, t2= 15.5280, lat=42 51.2873 N, lon=067 50.4239 W, hms=170644, dmy=061018
t1= 15.6012, c1= 4.08921, s= 32.6550, t2= 15.5276, lat=42 51.3043 N, lon=067 50.3321 W, hms=170720, dmy=061018
t1= 15.5974, c1= 4.08901, s= 32.6565, t2= 15.5260, lat=42 51.3062 N, lon=067 50.3210 W, hms=170724, dmy=061018
t1= 15.5963, c1= 4.08901, s= 32.6573, t2= 15.5227, lat=42 51.3078 N, lon=067 50.3098 W, hms=170728, dmy=061018
t1= 15.5959, c1= 4.08898, s= 32.6574, t2= 15.5226, lat=42 51.3092 N, lon=067 50.2984 W, hms=170732, dmy=061018
t1= 15.5929, c1= 4.08870, s= 32.6574, t2= 15.5338, lat=42 51.3108 N, lon=067 50.2875 W, hms=170736, dmy=061018
t1= 15.5911, c1= 4.08861, s= 32.6581, t2= 15.5283, lat=42 51.3141 N, lon=067 50.2659 W, hms=170744, dmy=061018
t1= 15.5980, c1= 4.08921, s= 32.6578, t2= 15.5295, lat=42 51.3192 N, lon=067 50.2391 W, hms=170754, dmy=061018
t1= 15.5980, c1= 4.08925, s= 32.6580, t2= 15.5282, lat=42 51.3240 N, lon=067 50.2117 W, hms=170804, dmy=061018
t1= 15.5986, c1= 4.08933, s= 32.6583, t2= 15.5275, lat=42 51.3282 N, lon=067 50.1835 W, hms=170814, dmy=061018
t1= 15.5981, c1= 4.08932, s= 32.6586, t2= 15.5308, lat=42 51.3323 N, lon=067 50.1563 W, hms=170824, dmy=061018
t1= 15.5966, c1= 4.08921, s= 32.6589, t2= 15.5299, lat=42 51.3368 N, lon=067 50.1287 W, hms=170834, dmy=061018
t1= 15.5984, c1= 4.08952, s= 32.6602, t2= 15.5263, lat=42 51.3413 N, lon=067 50.1001 W, hms=170844, dmy=061018
t1= 15.5982, c1= 4.08964, s= 32.6615, t2= 15.5260, lat=42 51.3457 N, lon=067 50.0727 W, hms=170854, dmy=061018
t1= 15.5952, c1= 4.08967, s= 32.6642, t2= 15.5237, lat=42 51.3498 N, lon=067 50.0441 W, hms=170904, dmy=061018
t1= 15.5947, c1= 4.08989, s= 32.6666, t2= 15.5294, lat=42 51.3540 N, lon=067 50.0155 W, hms=170914, dmy=061018
t1= 15.5943, c1= 4.09000, s= 32.6678, t2= 15.5285, lat=42 51.3596 N, lon=067 49.9883 W, hms=170924, dmy=061018
t1= 15.5970, c1= 4.09048, s= 32.6699, t2= 15.5285, lat=42 51.3651 N, lon=067 49.9604 W, hms=170934, dmy=061018
t1= 15.5975, c1= 4.09063, s= 32.6708, t2= 15.5367, lat=42 51.3700 N, lon=067 49.9325 W, hms=170944, dmy=061018
t1= 15.5989, c1= 4.09086, s= 32.6717, t2= 15.5330, lat=42 51.3745 N, lon=067 49.9042 W, hms=170954, dmy=061018
t1= 15.6046, c1= 4.09134, s= 32.6713, t2= 15.5395, lat=42 51.3791 N, lon=067 49.8755 W, hms=171004, dmy=061018
t1= 15.6033, c1= 4.09132, s= 32.6721, t2= 15.5411, lat=42 51.3834 N, lon=067 49.8481 W, hms=171014, dmy=061018
t1= 15.6059, c1= 4.09163, s= 32.6728, t2= 15.5416, lat=42 51.3879 N, lon=067 49.8207 W, hms=171024, dmy=061018
t1= 15.6079, c1= 4.09186, s= 32.6731, t2= 15.5427, lat=42 51.3926 N, lon=067 49.7930 W, hms=171034, dmy=061018
t1= 15.6093, c1= 4.09198, s= 32.6731, t2= 15.5385, lat=42 51.3972 N, lon=067 49.7660 W, hms=171044, dmy=061018
t1= 15.6096, c1= 4.09200, s= 32.6730, t2= 15.5374, lat=42 51.4013 N, lon=067 49.7391 W, hms=171054, dmy=061018
t1= 15.6080, c1= 4.09194, s= 32.6738, t2= 15.5337, lat=42 51.4042 N, lon=067 49.7117 W, hms=171104, dmy=061018
t1= 15.6063, c1= 4.09182, s= 32.6741, t2= 15.5293, lat=42 51.4086 N, lon=067 49.6838 W, hms=171114, dmy=061018
t1= 15.6025, c1= 4.09157, s= 32.6750, t2= 15.5241, lat=42 51.4142 N, lon=067 49.6565 W, hms=171124, dmy=061018
t1= 15.5992, c1= 4.09132, s= 32.6755, t2= 15.5150, lat=42 51.4188 N, lon=067 49.6296 W, hms=171134, dmy=061018
t1= 15.5942, c1= 4.09084, s= 32.6755, t2= 15.5402, lat=42 51.4239 N, lon=067 49.6025 W, hms=171144, dmy=061018
t1= 15.5871, c1= 4.09029, s= 32.6764, t2= 15.5310, lat=42 51.4289 N, lon=067 49.5754 W, hms=171154, dmy=061018
t1= 15.5962, c1= 4.09115, s= 32.6765, t2= 15.5321, lat=42 51.4334 N, lon=067 49.5484 W, hms=171204, dmy=061018
t1= 15.5994, c1= 4.09159, s= 32.6778, t2= 15.5374, lat=42 51.4375 N, lon=067 49.5214 W, hms=171214, dmy=061018
t1= 15.6013, c1= 4.09189, s= 32.6788, t2= 15.5370, lat=42 51.4416 N, lon=067 49.4944 W, hms=171224, dmy=061018
t1= 15.6039, c1= 4.09220, s= 32.6795, t2= 15.5398, lat=42 51.4466 N, lon=067 49.4670 W, hms=171234, dmy=061018
