t1= 15.7231, c1= 4.44858, s= 35.7693, t2= 15.6734, lat=48 58.6394 N, lon=022 55.3177 W, hms=000008, dmy=171018
t1= 15.7235, c1= 4.44868, s= 35.7699, t2= 15.6746, lat=48 58.6482 N, lon=022 55.2757 W, hms=000018, dmy=171018
t1= 15.7236, c1= 4.44885, s= 35.7712, t2= 15.6741, lat=48 58.6562 N, lon=022 55.2330 W, hms=000028, dmy=171018
t1= 15.7243, c1= 4.44909, s= 35.7728, t2= 15.6755, lat=48 58.6646 N, lon=022 55.1914 W, hms=000038, dmy=171018
t1= 15.7251, c1= 4.44925, s= 35.7735, t2= 15.6782, lat=48 58.6740 N, lon=022 55.1499 W, hms=000048, dmy=171018
t1= 15.7260, c1= 4.44949, s= 35.7748, t2= 15.6790, lat=48 58.6811 N, lon=022 55.1083 W, hms=000058, dmy=171018
t1= 15.7283, c1= 4.44974, s= 35.7750, t2= 15.6813, lat=48 58.6878 N, lon=022 55.0676 W, hms=000108, dmy=171018
t1= 15.7310, c1= 4.45005, s= 35.7753, t2= 15.6803, lat=48 58.6949 N, lon=022 55.0271 W, hms=000118, dmy=171018
t1= 15.7332, c1= 4.45025, s= 35.7752, t2= 15.6816, lat=48 58.7016 N, lon=022 54.9864 W, hms=000128, dmy=171018
t1= 15.7321, c1= 4.45023, s= 35.7759, t2= 15.6823, lat=48 58.7093 N, lon=022 54.9462 W, hms=000138, dmy=171018
t1= 15.7325, c1= 4.45034, s= 35.7766, t2= 15.6837, lat=48 58.7176 N, lon=022 54.9059 W, hms=000148, dmy=171018
t1= 15.7332, c1= 4.45050, s= 35.7774, t2= 15.6827, lat=48 58.7260 N, lon=022 54.8657 W, hms=000158, dmy=171018
t1= 15.7345, c1= 4.45063, s= 35.7774, t2= 15.6829, lat=48 58.7348 N, lon=022 54.8248 W, hms=000208, dmy=171018
t1= 15.7341, c1= 4.45067, s= 35.7782, t2= 15.6826, lat=48 58.7438 N, lon=022 54.7829 W, hms=000218, dmy=171018
t1= 15.7338, c1= 4.45081, s= 35.7796, t2= 15.6854, lat=48 58.7538 N, lon=022 54.7407 W, hms=000228, dmy=171018
t1= 15.7335, c1= 4.45098, s= 35.7816, t2= 15.6891, lat=48 58.7634 N, lon=022 54.6980 W, hms=000238, dmy=171018
t1= 15.7353, c1= 4.45132, s= 35.7829, t2= 15.6892, lat=48 58.7718 N, lon=022 54.6554 W, hms=000248, dmy=171018
