DateTime,Accelerometer,x,y,z,Temperature,Lux,Humidity,Proximity,Pressure,Altitude,Roll,Pitch 
2018-11-8 15:59:3.000,2.01,1.38,-11.16,24.23,335.00,28.68,3.92,102081.20,-68.06,172.97,-10.14
2018-11-8 15:59:3.500,2.12,-0.26,-10.67,24.24,362.00,29.05,3.90,102085.61,-68.46,-178.62,-11.22
2018-11-8 15:59:4.000,4.21,0.70,-6.65,24.25,298.00,29.33,3.92,102086.41,-68.53,174.01,-32.23
2018-11-8 15:59:4.500,6.18,0.20,-7.97,24.25,519.00,29.49,3.95,102080.88,-68.03,178.57,-37.78
2018-11-8 15:59:5.000,-1.29,0.36,-9.50,24.25,577.00,29.37,3.97,102086.41,-68.53,177.82,7.74
2018-11-8 15:59:5.500,-4.55,1.21,-8.76,24.25,173.00,29.17,3.96,102089.17,-68.78,172.17,27.22
2018-11-8 15:59:6.000,-0.11,1.71,-9.00,24.25,214.00,29.11,3.96,102086.41,-68.53,169.29,0.66
2018-11-8 15:59:6.500,6.69,1.13,-7.44,24.24,365.00,29.40,3.97,102077.31,-67.71,171.38,-41.61
2018-11-8 15:59:7.000,3.53,0.57,-8.87,24.26,512.00,29.45,3.96,102083.31,-68.25,176.31,-21.63
2018-11-8 15:59:7.500,-3.61,0.78,-9.12,24.25,431.00,29.25,3.99,102086.41,-68.53,175.15,21.53
2018-11-8 15:59:8.000,-0.05,1.72,-8.80,24.25,225.00,28.96,3.99,102086.41,-68.53,168.93,0.31
2018-11-8 15:59:8.500,4.58,2.57,-8.36,24.23,318.00,28.75,3.97,102078.44,-67.82,162.95,-27.63
2018-11-8 15:59:9.000,1.51,-2.94,-8.14,24.25,483.00,28.56,3.95,102090.00,-68.86,-160.15,-9.92
2018-11-8 15:59:9.500,0.82,-5.92,-7.73,24.24,318.00,28.43,3.96,102082.84,-68.21,-142.57,-4.84
2018-11-8 15:59:10.000,2.67,-0.39,-7.62,24.25,280.00,28.43,3.97,102080.88,-68.03,-177.06,-19.32
2018-11-8 15:59:10.500,0.57,7.22,-4.52,24.24,373.00,28.26,3.95,102088.38,-68.71,122.06,-3.86
2018-11-8 15:59:11.000,0.67,4.72,-7.28,24.25,175.00,28.18,3.92,102086.41,-68.53,147.04,-4.42
2018-11-8 15:59:11.500,1.91,-4.80,-7.57,24.25,283.00,28.67,3.91,102087.23,-68.61,-147.63,-12.01
2018-11-8 15:59:12.000,2.28,-6.76,-7.43,24.25,321.00,29.00,3.94,102081.70,-68.11,-137.71,-12.78
2018-11-8 15:59:12.500,-0.87,1.36,-6.71,24.25,384.00,28.97,3.96,102087.23,-68.61,168.56,7.25
2018-11-8 15:59:13.000,-1.26,8.94,-7.32,24.25,203.00,29.11,3.95,102084.47,-68.36,129.32,6.25
2018-11-8 15:59:13.500,2.30,2.27,-11.78,24.27,133.00,29.44,3.92,102081.37,-68.08,169.11,-10.85
2018-11-8 15:59:14.000,1.38,0.20,-9.01,24.27,395.00,30.05,3.96,102093.27,-69.15,178.73,-8.70
2018-11-8 15:59:14.500,1
